head;relation;tail
surveyors, cartographers, and photogrammetrists;exactMatch;surveyors, cartographers, and photogrammetrists
sound mastering engineer;exactMatch;sound mastering engineer
computer numerically controlled tool programmers;exactMatch;computer numerically controlled tool programmers
fire-fighters;exactMatch;fire-fighters
social welfare managers;exactMatch;social welfare managers
infantry officers;exactMatch;infantry officers
bill and account collectors;exactMatch;bill and account collectors
credit analyst;exactMatch;credit analyst
magazine editor;exactMatch;magazine editor
liquor blender;exactMatch;liquor blender
admissions coordinator;exactMatch;admissions coordinator
quality control analysts;exactMatch;quality control analysts
casino cashier;exactMatch;casino cashier
chemical engineer;narrowMatch;oenologist
geologist;narrowMatch;mud logger
fire inspectors;narrowMatch;fire inspectors and investigators
drivers of animal-drawn vehicles and machinery;narrowMatch;carriage driver
life sciences teachers, postsecondary;narrowMatch;forestry and conservation science teachers, postsecondary
health and safety officer;narrowMatch;ergonomist
journalists;narrowMatch;journalist
cement, stone and other mineral products machine operators;narrowMatch;block machine operator
production occupations;narrowMatch;assemblers and fabricators
interior designer;narrowMatch;interior planner
other personal care and service workers;narrowMatch;residential advisors
information and record clerks;narrowMatch;library assistants, clerical
higher education lecturer;narrowMatch;food science lecturer
information and communications technology user support technicians;narrowMatch;ict help desk manager
fire-fighters;narrowMatch;firefighter
policy administration professionals;narrowMatch;community development officer
specialised goods distribution manager;narrowMatch;tobacco products distribution manager
forming machine setters, operators, and tenders, metal and plastic;narrowMatch;extruding and drawing machine setters, operators, and tenders, metal and plastic
refuse workers;narrowMatch;sweepers and related labourers
Physicians;narrowMatch;radiologists
painting workers;narrowMatch;coating, painting, and spraying machine setters, operators, and tenders
entertainment and recreation managers;narrowMatch;gambling managers
regulatory government associate professionals not elsewhere classified;narrowMatch;forestry inspector
car, taxi and van drivers;narrowMatch;hearse driver
printers;narrowMatch;textile printer
construction general supervisor;narrowMatch;terrazzo setter supervisor
services managers not elsewhere classified;narrowMatch;travel agency manager
financial clerks;narrowMatch;procurement clerks
manufacturing facility manager;narrowMatch;foundry manager
social worker;narrowMatch;hospital social worker
authors and related writers;narrowMatch;writer
financial and investment advisers;narrowMatch;investment adviser
product and garment designers;narrowMatch;industrial designer
professional services managers not elsewhere classified;narrowMatch;publications coordinator
beauticians and related workers;narrowMatch;manicurist
painters, building structure cleaners and related trades workers;narrowMatch;painters and related workers
food and related products machine operators;narrowMatch;dryer attendant
physiotherapy technicians and assistants;narrowMatch;shiatsu practitioner
recreational therapist;narrowMatch;art therapist
life science technicians and related associate professionals;narrowMatch;agricultural technicians
other health associate professionals;narrowMatch;dental assistants and therapists
electronic equipment assembler;narrowMatch;battery assembler
non-commissioned armed forces officers;narrowMatch;sergeant
forwarding manager;narrowMatch;shipping agent
therapists;narrowMatch;radiation therapists
commissioned armed forces officers;narrowMatch;army captain
other office and administrative support workers;narrowMatch;miscellaneous office and administrative support workers
conservation scientists;narrowMatch;range managers
life, physical, and social science technicians;narrowMatch;miscellaneous life, physical, and social science technicians
agricultural, forestry and fishery labourers;narrowMatch;livestock farm labourers
well drillers and borers and related workers;narrowMatch;tunnel boring machine operator
mineral and stone processing plant operators;narrowMatch;stone driller
textile, apparel, and furnishings workers;narrowMatch;textile machine setters, operators, and tenders
window cleaners;narrowMatch;window cleaner
military enlisted tactical operations and air/weapons specialists and crew members;narrowMatch;military enlisted tactical operations and air/weapons specialists and crew members, all other
tellers, money collectors and related clerks;narrowMatch;bank tellers and related clerks
crushing, grinding, polishing, mixing, and blending workers;narrowMatch;grinding and polishing workers, hand
advertising and marketing professionals;narrowMatch;network marketer
textile, fur and leather products machine operators;narrowMatch;sewing machine operators
shoe and leather workers;narrowMatch;shoe and leather workers and repairers
property acquisitions manager;narrowMatch;title closer
pumping station operators;narrowMatch;pump operators, except wellhead pumpers
commissioned armed forces officers;narrowMatch;artillery officer
radio and telecommunications equipment installers and repairers;narrowMatch;telecommunications equipment installers and repairers, except line installers
counselors;narrowMatch;marriage and family therapists
drafter;narrowMatch;aerospace engineering drafter
performance artist;narrowMatch;variety artist
health technologists and technicians;narrowMatch;licensed practical and licensed vocational nurses
choreographer;narrowMatch;dance répétiteur
accountant;narrowMatch;cost analyst
credit adviser;narrowMatch;credit analyst
glass and ceramics plant operators;narrowMatch;clay kiln burner
medical and pharmaceutical technicians;narrowMatch;medical imaging and therapeutic equipment technicians
carpet, floor, and tile installers and finishers;narrowMatch;tile and stone setters
welders and flamecutters;narrowMatch;brazier
back office specialist;narrowMatch;financial markets back office administrator
food and related products machine operators;narrowMatch;fish canning operator
textile, fur and leather products machine operators;narrowMatch;bleaching, dyeing and fabric cleaning machine operators
social counsellor;narrowMatch;marriage counsellor
property appraisers and assessors;narrowMatch;appraisers of personal and business property
protective service occupations;narrowMatch;law enforcement workers
beauticians and related workers;narrowMatch;masseur/masseuse
education and childcare administrators;narrowMatch;education administrators, postsecondary
production occupations;narrowMatch;textile, apparel, and furnishings workers
logistics and distribution manager;narrowMatch;distribution manager
top executives;narrowMatch;general and operations managers
Computer Occupations;narrowMatch;database and network administrators and architects
riggers and cable splicers;narrowMatch;rigger
security guard;narrowMatch;security guard supervisor
occupational therapy and physical therapist assistants and aides;narrowMatch;physical therapist assistants and aides
travel consultants and clerks;narrowMatch;travel agent
assemblers not elsewhere classified;narrowMatch;metal products assembler
civil engineers;narrowMatch;civil engineer
linguist;narrowMatch;lawyer linguist
building caretaker;narrowMatch;verger
child care services managers;narrowMatch;child day care centre manager
telecommunications engineers;narrowMatch;telecommunications engineer
wholesale merchant;narrowMatch;wholesale merchant in agricultural raw materials, seeds and animal feeds
woodworkers;narrowMatch;woodworking machine setters, operators, and tenders
financial clerks;narrowMatch;billing and posting clerks
biologist;narrowMatch;botanist
other stationary plant and machine operators;narrowMatch;packing, bottling and labelling machine operators
specialised goods distribution manager;narrowMatch;dairy products and edible oils distribution manager
drafters, engineering technicians, and mapping technicians;narrowMatch;surveying and mapping technicians
other management occupations;narrowMatch;lodging managers
commissioned armed forces officers;narrowMatch;army general
electronics mechanics and servicers;narrowMatch;marine electronics technician
mining engineers, metallurgists and related professionals;narrowMatch;assayer
professional services managers not elsewhere classified;narrowMatch;museum director
graphic and multimedia designers;narrowMatch;animation layout artist
healthcare diagnosing or treating practitioners, all other;narrowMatch;naturopathic physicians
civil engineering technician;narrowMatch;building inspector
shoemaker;narrowMatch;footwear cad patternmaker
printers;narrowMatch;flexographic press operator
journalist;narrowMatch;copy editor
specialised goods distribution manager;narrowMatch;coffee, tea, cocoa and spices distribution manager
gambling services workers;narrowMatch;gambling dealers
information and record clerks;narrowMatch;correspondence clerks
specialised seller;narrowMatch;furniture specialised seller
chemical engineer;narrowMatch;cider master
electronics mechanics and servicers;narrowMatch;office equipment repair technician
leather goods manual operator;narrowMatch;leather goods finishing operator
air transportation workers;narrowMatch;flight attendants
business and financial operations occupations;narrowMatch;business operations specialists
industrial waste inspector;narrowMatch;hazardous materials inspector
bakers, pastry-cooks and confectionery makers;narrowMatch;chocolatier
professional services managers not elsewhere classified;narrowMatch;airside safety manager
distribution manager;narrowMatch;road transport division manager
tailors, dressmakers, furriers and hatters;narrowMatch;tailor
legal and related associate professionals;narrowMatch;legal assistant
information and communications technology user support technicians;narrowMatch;ict security technician
mechanical engineer;narrowMatch;welding engineer
policy administration professionals;narrowMatch;intelligence officer
engineering technologists and technicians, except drafters;narrowMatch;mechanical engineering technologists and technicians
precision instrument and equipment repairers;narrowMatch;watch and clock repairers
market gardeners and crop growers;narrowMatch;tree and shrub crop growers
building and related trades workers, excluding electricians;narrowMatch;building frame and related trades workers
environmental scientists and geoscientists;narrowMatch;hydrologists
legal professionals not elsewhere classified;narrowMatch;legal consultant
plant and machine operators and assemblers;narrowMatch;drivers and mobile plant operators
textile, fur and leather products machine operators;narrowMatch;shoemaking and related machine operators
construction trades workers;narrowMatch;construction equipment operators
database and network professionals not elsewhere classified;narrowMatch;ict security manager
professionals;narrowMatch;health professionals
agricultural and industrial machinery mechanics and repairers;narrowMatch;fluid power technician
systems analysts;narrowMatch;ict system developer
craft and related trades workers;narrowMatch;handicraft and printing workers
civil engineering technicians;narrowMatch;corrosion technician
higher education lecturer;narrowMatch;classical languages lecturer
systems analysts;narrowMatch;enterprise architect
textile, apparel, and furnishings workers;narrowMatch;laundry and dry-cleaning workers
community health workers;narrowMatch;community health worker
installation, maintenance, and repair workers, all other;narrowMatch;geothermal technicians
aquaculture and fisheries production managers;narrowMatch;aquaculture harvesting manager
application engineer;narrowMatch;quality engineer
other artistic and cultural associate professionals;narrowMatch;automated fly bar operator
pharmaceutical technicians and assistants;narrowMatch;pharmacy assistant
locomotive engineers and operators;narrowMatch;locomotive engineers
service manager;narrowMatch;legal service manager
business operations specialists;narrowMatch;fundraisers
funeral service workers;narrowMatch;funeral attendants
chief marketing officer;narrowMatch;destination manager
cultural facilities manager;narrowMatch;cultural centre director
policy officer;narrowMatch;environmental policy officer
artistic, cultural and culinary associate professionals;narrowMatch;gallery, museum and library technicians
chemistry technician;narrowMatch;chromatographer
vocational teacher;narrowMatch;beauty vocational teacher
construction general supervisor;narrowMatch;crane crew supervisor
plastic products machine operators;narrowMatch;record press operator
client information workers;narrowMatch;client information workers not elsewhere classified
miscellaneous social scientists and related workers;narrowMatch;political scientists
musician;narrowMatch;singer
product development manager;narrowMatch;games development manager
operations specialties managers;narrowMatch;training and development managers
production supervisor;narrowMatch;paper mill supervisor
aircraft pilot;narrowMatch;second officer
specialist pharmacist;narrowMatch;industrial pharmacist
other arts teachers;narrowMatch;visual arts teacher
sales representatives, services;narrowMatch;miscellaneous sales representatives, services
metal working machine tool setters and operators;narrowMatch;straightening machine operator
teaching professionals not elsewhere classified;narrowMatch;assistive technologist
industrial production manager;narrowMatch;chemical production manager
visual artists;narrowMatch;storyboard artist
tailors, dressmakers, furriers and hatters;narrowMatch;costume maker
engineering professionals not elsewhere classified;narrowMatch;textile, leather and footwear researcher
food and beverage tasters and graders;narrowMatch;coffee taster
metal processing and finishing plant operators;narrowMatch;metal processing plant operators
wholesale merchant;narrowMatch;wholesale merchant in machine tools
energy engineer;narrowMatch;onshore wind energy engineer
import export manager;narrowMatch;import export manager in beverages
protective services workers not elsewhere classified;narrowMatch;aircraft marshaller
door to door salespersons;narrowMatch;door to door seller
aircraft pilot;narrowMatch;private pilot
prepress technician;narrowMatch;lithographer
engineering and architecture teachers, postsecondary;narrowMatch;architecture teachers, postsecondary
environmental protection professionals;narrowMatch;natural resources consultant
business services and administration managers not elsewhere classified;narrowMatch;corporate social responsibility manager
graphic and multimedia designers;narrowMatch;animator
education methods specialists;narrowMatch;special educational needs coordinator
sewing, embroidery and related workers;narrowMatch;embroiderer
industrial and production engineers;narrowMatch;maintenance and repair engineer
architects, except naval;narrowMatch;architects, except landscape and naval
managers;narrowMatch;production and specialised services managers
software developers;narrowMatch;user interface developer
business services and administration managers not elsewhere classified;narrowMatch;project manager
cutting workers;narrowMatch;cutters and trimmers, hand
computer and mathematical occupations;narrowMatch;Computer Occupations
blacksmiths, toolmakers and related trades workers;narrowMatch;metal polishers, wheel grinders and tool sharpeners
health technologists and technicians;narrowMatch;health practitioner support technologists and technicians
senior government officials;narrowMatch;police commissioner
service and sales workers;narrowMatch;protective services workers
construction supervisors;narrowMatch;underwater construction supervisor
electronics engineer;narrowMatch;sensor engineer
other office and administrative support workers;narrowMatch;desktop publishers
chemical products plant and machine operators;narrowMatch;plodder operator
dancers and choreographers;narrowMatch;dancers
jeweller;narrowMatch;jewellery engraver
metal furnace operators, tenders, pourers, and casters;narrowMatch;metal-refining furnace operators and tenders
small engine mechanics;narrowMatch;motorboat mechanics and service technicians
mechanical engineering technician;narrowMatch;rolling stock engine tester
vocational teacher;narrowMatch;cabin crew instructor
information and record clerks;narrowMatch;eligibility interviewers, government programs
other production occupations;narrowMatch;crushing, grinding, polishing, mixing, and blending workers
production supervisor;narrowMatch;chemical processing supervisor
carpenters and joiners;narrowMatch;window installer
woodworkers;narrowMatch;model makers and patternmakers, wood
drivers and mobile plant operators;narrowMatch;heavy truck and bus drivers
engineering professionals not elsewhere classified;narrowMatch;commissioning engineer
jewellery and precious-metal workers;narrowMatch;jeweller
building frame and related trades workers;narrowMatch;building frame and related trades workers not elsewhere classified
recreational therapist;narrowMatch;dance therapist
plumbers, pipefitters, and steamfitters;narrowMatch;solar thermal installers and technicians
house builders;narrowMatch;house builder
fitness instructor;narrowMatch;sport therapist
theatre technician;narrowMatch;stage technician
livestock and dairy producers;narrowMatch;pig breeder
office and administrative support occupations;narrowMatch;material recording, scheduling, dispatching, and distributing workers
electrical, electronics, and electromechanical assemblers;narrowMatch;electrical and electronic equipment assemblers
business and administration professionals;narrowMatch;sales, marketing and public relations professionals
food and related products machine operators;narrowMatch;cigarette making machine operator
real estate brokers and sales agents;narrowMatch;real estate brokers
textile, apparel, and furnishings workers;narrowMatch;sewing machine operators
physical scientists;narrowMatch;chemists and materials scientists
ships’ engineers;narrowMatch;ship assistant engineer
investment adviser;narrowMatch;investor relations manager
information and communications technology professionals;narrowMatch;database and network professionals
model makers and patternmakers, metal and plastic;narrowMatch;patternmakers, metal and plastic
building frame and related trades workers;narrowMatch;stonemasons, stone cutters, splitters and carvers
medical and clinical laboratory technologists;narrowMatch;cytogenetic technologists
teaching professionals;narrowMatch;vocational education teachers
mechanical engineer;narrowMatch;engine designer
shop manager;narrowMatch;drugstore manager
waiters and bartenders;narrowMatch;waiters
carpenters and joiners;narrowMatch;fireplace installer
process control technicians;narrowMatch;process control technicians not elsewhere classified
plastic products machine operators;narrowMatch;plastic rolling machine operator
specialised goods distribution manager;narrowMatch;clothing and footwear distribution manager
sewing machine operator;narrowMatch;embroidery machine operator
occupational therapy assistants and aides;narrowMatch;occupational therapy aides
hotel receptionists;narrowMatch;hospitality establishment receptionist
miscellaneous textile, apparel, and furnishings workers;narrowMatch;extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
engineering professionals not elsewhere classified;narrowMatch;patent engineer
building frame and related trades workers;narrowMatch;house builders
chemical processing machine setters, operators, and tenders;narrowMatch;chemical equipment operators and tenders
fumigators and other pest and weed controllers;narrowMatch;pest management worker
recreation and fitness workers;narrowMatch;exercise trainers and group fitness instructors
special education teachers;narrowMatch;special education teachers, kindergarten
handicraft workers not elsewhere classified;narrowMatch;sports equipment repair technician
hairdresser;narrowMatch;hairdresser assistant
physiotherapy technicians and assistants;narrowMatch;physiotherapy assistant
legislators and senior officials;narrowMatch;senior government officials
religious professionals;narrowMatch;minister of religion
personal appearance workers;narrowMatch;barbers, hairdressers, hairstylists and cosmetologists
packing, bottling and labelling machine operators;narrowMatch;packaging and filling machine operator
prepress technician;narrowMatch;imagesetter
psychologists, all other;narrowMatch;neuropsychologists
shop manager;narrowMatch;tobacco shop manager
shoemaker;narrowMatch;footwear patternmaker
meter readers and vending-machine collectors;narrowMatch;vending machine operator
sheet-metal workers;narrowMatch;sheet metal worker
electronics engineer;narrowMatch;computer hardware engineer
creative and performing artists;narrowMatch;actors
riggers and cable splicers;narrowMatch;tent installer
rubber products machine operator;narrowMatch;rubber dipping machine operator
production occupations;narrowMatch;Printing Workers
shop keepers;narrowMatch;retail entrepreneur
land surveyor;narrowMatch;hydrographic surveyor
firefighter;narrowMatch;mine rescue officer
software developers;narrowMatch;software developer
metal, machinery and related trades workers;narrowMatch;machinery mechanics and repairers
commodity broker;narrowMatch;shipbroker
rubber products machine operator;narrowMatch;foam rubber mixer
government licensing officials;narrowMatch;immigration adviser
regulatory government associate professionals not elsewhere classified;narrowMatch;gaming inspector
social services manager;narrowMatch;youth centre manager
laborers and material movers;narrowMatch;machine feeders and offbearers
air traffic controllers;narrowMatch;aviation inspector
dentists;narrowMatch;dentists, general
miscellaneous postsecondary teachers;narrowMatch;career/technical education teachers, postsecondary
material-recording and transport clerks;narrowMatch;stock clerks
financial and mathematical associate professionals;narrowMatch;valuers and loss assessors
engineering professionals (excluding electrotechnology);narrowMatch;industrial and production engineers
legal professionals not elsewhere classified;narrowMatch;notary
metal processing plant operators;narrowMatch;casting machine operator
contact centre information clerks;narrowMatch;customer contact centre information clerk
decorative painter;narrowMatch;wood painter
printers;narrowMatch;screen printer
precision instrument and equipment repairers;narrowMatch;precision instrument and equipment repairers, all other
material moving workers;narrowMatch;refuse and recyclable material collectors
real estate agents and property managers;narrowMatch;real estate agent
specialised goods distribution manager;narrowMatch;pharmaceutical goods distribution manager
biologists, botanists, zoologists and related professionals;narrowMatch;animal behaviourist
customs and border inspectors;narrowMatch;hand luggage inspector
application engineer;narrowMatch;contract engineer
drafter;narrowMatch;automotive engineering drafter
butchers, fishmongers and related food preparers;narrowMatch;fish trimmer
rubber, plastic and paper products machine operators;narrowMatch;plastic products machine operators
managing directors and chief executives;narrowMatch;public employment service manager
potters and related workers;narrowMatch;production potter
print finishing and binding workers;narrowMatch;bindery operator
sales, marketing and development managers;narrowMatch;sales and marketing managers
fitness and recreation instructors and program leaders;narrowMatch;fitness instructor
advertising and marketing professionals;narrowMatch;market research analyst
construction and extraction occupations;narrowMatch;other construction and related workers
legal, social, cultural and related associate professionals;narrowMatch;artistic, cultural and culinary associate professionals
manufacturing manager;narrowMatch;sewerage systems manager
broadcasting and audiovisual technicians;narrowMatch;broadcast technician
protective service occupations;narrowMatch;supervisors of protective service workers
miscellaneous managers;narrowMatch;managers, all other
food and related products machine operators;narrowMatch;prepared meat operator
motor vehicle mechanics and repairers;narrowMatch;refurbishing technician
civil engineer;narrowMatch;drainage engineer
control and valve installers and repairers;narrowMatch;mechanical door repairers
life science professionals;narrowMatch;environmental protection professionals
teaching assistants;narrowMatch;teaching assistants, all other
electrical engineering technician;narrowMatch;electromechanical engineering technician
teaching professionals not elsewhere classified;narrowMatch;public speaking coach
metal finishing, plating and coating machine operators;narrowMatch;abrasive blasting operator
precision-instrument makers and repairers;narrowMatch;surgical instrument maker
power production plant operator;narrowMatch;geothermal power plant operator
manufacturing managers;narrowMatch;green coffee coordinator
arts, communications, history, and humanities teachers, postsecondary;narrowMatch;art, drama, and music teachers, postsecondary
metal working machine tool setters and operators;narrowMatch;heat treatment furnace operator
electronics and telecommunications installers and repairers;narrowMatch;electronics mechanics and servicers
specialised seller;narrowMatch;meat and meat products specialised seller
architects, planners, surveyors and designers;narrowMatch;landscape architects
mechanical engineering technician;narrowMatch;vessel engine tester
building caretaker;narrowMatch;house sitter
systems analysts;narrowMatch;ict business analyst
emergency medical technicians and paramedics;narrowMatch;emergency medical technicians
industrial engineering technologists and technicians;narrowMatch;nanotechnology engineering technologists and technicians
handicraft workers;narrowMatch;jewellery and precious-metal workers
inventory coordinator;narrowMatch;footwear factory warehouse operator
fishery workers, hunters and trappers;narrowMatch;hunters and trappers
military specific occupations;narrowMatch;military enlisted tactical operations and air/weapons specialists and crew members
social care worker;narrowMatch;housing support worker
mathematicians, actuaries and statisticians;narrowMatch;demographer
archivists and curators;narrowMatch;museum scientist
sociologists, anthropologists and related professionals;narrowMatch;sociologist
steward/stewardess;narrowMatch;ship steward/ship stewardess
database and network administrators and architects;narrowMatch;computer network architects
geologist;narrowMatch;palaeontologist
mobile plant operators;narrowMatch;mobile farm and forestry plant operators
information and communications technology installers and servicers;narrowMatch;computer hardware repair technician
software and web developers, programmers, and testers;narrowMatch;web and digital interface designers
sales workers;narrowMatch;cashiers and ticket clerks
mining and metallurgical technicians;narrowMatch;geotechnician
handicraft workers;narrowMatch;handicraft workers in wood, basketry and related materials
hotel managers;narrowMatch;accommodation manager
math and computer science teachers, postsecondary;narrowMatch;mathematical science teachers, postsecondary
performance artist;narrowMatch;disc jockey
logging workers;narrowMatch;log graders and scalers
arts, design, entertainment, sports, and media occupations;narrowMatch;entertainers and performers, sports and related workers
financial and mathematical associate professionals;narrowMatch;credit and loans officers
arts, communications, history, and humanities teachers, postsecondary;narrowMatch;english language and literature teachers, postsecondary
vocational teacher;narrowMatch;firefighter instructor
buyers;narrowMatch;costume buyer
sales and purchasing agents and brokers;narrowMatch;trade brokers
food and related products machine operators;narrowMatch;liquor blender
statistical, finance and insurance clerks;narrowMatch;auditing clerk
butchers, fishmongers and related food preparers;narrowMatch;slaughterer
therapists;narrowMatch;therapists, all other
animal producers not elsewhere classified;narrowMatch;fur animals breeder
metal working machine tool setters and operators;narrowMatch;stamping press operator
physical and engineering science technicians not elsewhere classified;narrowMatch;leather goods manufacturing technician
industrial assembly supervisor;narrowMatch;container equipment assembly supervisor
sociologists, anthropologists and related professionals;narrowMatch;geographer
security guard;narrowMatch;hospitality establishment security officer
software and applications developers and analysts;narrowMatch;applications programmers
legal and related associate professionals;narrowMatch;case administrator
printers;narrowMatch;printing textile technician
ships’ deck crews and related workers;narrowMatch;boatswain
stationary plant and machine operators;narrowMatch;chemical and photographic products plant and machine operators
life, physical, and social science technicians, all other;narrowMatch;remote sensing technicians
aircraft engine mechanics and repairers;narrowMatch;aircraft maintenance coordinator
import export manager;narrowMatch;import export manager in agricultural machinery and equipment
bookmakers, croupiers and related gaming workers;narrowMatch;casino cashier
farming, forestry and fisheries advisers;narrowMatch;fisheries adviser
shop sales assistants;narrowMatch;specialised seller
supply chain manager;narrowMatch;purchasing manager
transport clerks;narrowMatch;baggage flow supervisor
rental service representative in personal and household goods;narrowMatch;rental service representative in video tapes and disks
electrical equipment installers and repairers;narrowMatch;electrical mechanics and fitters
product and garment designers;narrowMatch;textile product developer
information and communications technicians;narrowMatch;information and communications technology operations and user support technicians
life, physical, and social science technicians;narrowMatch;biological technicians
human resources manager;narrowMatch;equality and inclusion manager
specialised goods distribution manager;narrowMatch;household goods distribution manager
management occupations;narrowMatch;operations specialties managers
import export manager;narrowMatch;import export manager in china and other glassware
media and communication workers;narrowMatch;broadcast announcers and radio disc jockeys
other sales and related workers;narrowMatch;miscellaneous sales and related workers
real estate agents and property managers;narrowMatch;housing manager
plant and system operators;narrowMatch;stationary engineers and boiler operators
building cleaning workers;narrowMatch;maids and housekeeping cleaners
secretaries and administrative assistants;narrowMatch;medical secretaries and administrative assistants
other artistic and cultural associate professionals;narrowMatch;body artist
physical and engineering science technicians not elsewhere classified;narrowMatch;aviation safety officer
business operations specialists;narrowMatch;market research analysts and marketing specialists
health associate professionals;narrowMatch;medical and pharmaceutical technicians
other sales and related workers;narrowMatch;sales engineers
regulatory government associate professionals not elsewhere classified;narrowMatch;fisheries observer
miscellaneous sales representatives, services;narrowMatch;sales representatives of services, except advertising, insurance, financial services, and travel
building electrician;narrowMatch;industrial electrician
handicraft workers;narrowMatch;precision-instrument makers and repairers
energy engineer;narrowMatch;alternative fuels engineer
other health professionals;narrowMatch;dentists
database and network professionals;narrowMatch;systems administrators
product graders and testers (excluding foods and beverages);narrowMatch;non-destructive testing specialist
industrial machinery installation, repair, and maintenance workers;narrowMatch;industrial machinery mechanics
food preparation assistants;narrowMatch;fast food preparers
wholesale merchant;narrowMatch;wholesale merchant in furniture, carpets and lighting equipment
chemical processing machine setters, operators, and tenders;narrowMatch;separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders
client information workers;narrowMatch;hotel receptionists
import export manager;narrowMatch;import export manager in coffee, tea, cocoa and spices
legal professionals;narrowMatch;judges
incinerator and water treatment plant operators;narrowMatch;wastewater treatment technician
software and applications developers and analysts;narrowMatch;web and multimedia developers
mathematicians, actuaries and statisticians;narrowMatch;gambling quality assurance engineer
computer network and systems technicians;narrowMatch;ict network technician
information and communications technology service managers;narrowMatch;chief data officer
electronics mechanics and servicers;narrowMatch;avionics technician
food and related products machine operators;narrowMatch;malt kiln operator
policy administration professionals;narrowMatch;civil service administrative officer
civil engineering worker;narrowMatch;waterway construction labourer
civil engineering worker;narrowMatch;road maintenance worker
transportation and material moving occupations;narrowMatch;air transportation workers
sales workers not elsewhere classified;narrowMatch;vehicle rental agent
food and related products machine operators;narrowMatch;vermouth manufacturer
elementary occupations;narrowMatch;food preparation assistants
architects, planners, surveyors and designers;narrowMatch;town and traffic planners
legal, social, cultural and related associate professionals;narrowMatch;legal, social and religious associate professionals
financial broker;narrowMatch;mortgage broker
wholesale merchant;narrowMatch;wholesale merchant in beverages
other teaching professionals;narrowMatch;teaching professionals not elsewhere classified
mobile farm and forestry plant operators;narrowMatch;forestry equipment operator
shoemaker;narrowMatch;orthopaedic footwear technician
outdoor activities instructor;narrowMatch;survival instructor
earthmoving and related plant operators;narrowMatch;road construction worker
printers;narrowMatch;paper embossing press operator
other health associate professionals;narrowMatch;community health workers
electrical mechanics and fitters;narrowMatch;automotive electrician
chief marketing officer;narrowMatch;marketing manager
ships' deck officers and pilots;narrowMatch;ship captain
chemical engineering technician;narrowMatch;hazardous waste technician
construction managers;narrowMatch;construction manager
food and related products machine operators;narrowMatch;starch converting operator
metal working machine tool setters and operators;narrowMatch;oxy fuel burning machine operator
engineering professionals not elsewhere classified;narrowMatch;quantity surveyor
authors, journalists and linguists;narrowMatch;journalists
other management occupations;narrowMatch;medical and health services managers
fishery workers, hunters and trappers;narrowMatch;inland and coastal waters fishery workers
advertising and marketing professionals;narrowMatch;product and services manager
extraction workers;narrowMatch;rock splitters, quarry
production engineer;narrowMatch;food production engineer
plumbers and pipe fitters;narrowMatch;septic tank servicer
fashion designer;narrowMatch;clothing fashion designer
protective services workers;narrowMatch;prison guards
mechanical engineering technician;narrowMatch;motor vehicle engine inspector
engineering professionals (excluding electrotechnology);narrowMatch;mining engineers, metallurgists and related professionals
electrical mechanics and fitters;narrowMatch;ground lighting officer
welding, soldering, and brazing workers;narrowMatch;welders, cutters, solderers, and brazers
wholesale merchant;narrowMatch;wholesale merchant in flowers and plants
wholesale merchant;narrowMatch;wholesale merchant in tobacco products
optometrists and ophthalmic opticians;narrowMatch;optometrist
metal, machinery and related trades workers;narrowMatch;sheet and structural metal workers, moulders and welders, and related workers
animal therapist;narrowMatch;animal massage therapist
agricultural and industrial machinery mechanics and repairers;narrowMatch;mining equipment mechanic
industrial quality manager;narrowMatch;textile quality manager
construction and related workers, all other;narrowMatch;weatherization installers and technicians
investment adviser;narrowMatch;corporate investment banker
electrical engineers;narrowMatch;electrical engineer
information and record clerks;narrowMatch;human resources assistants, except payroll and timekeeping
civil engineering technician;narrowMatch;bridge inspector
architects, planners, surveyors and designers;narrowMatch;graphic and multimedia designers
child care worker;narrowMatch;nanny
education and library science teachers, postsecondary;narrowMatch;education teachers, postsecondary
steward/stewardess;narrowMatch;train attendant
midwifery professionals;narrowMatch;midwife
professional services managers not elsewhere classified;narrowMatch;book publisher
aircraft pilot;narrowMatch;co-pilot
rubber products machine operators;narrowMatch;rubber products machine operator
import export specialist;narrowMatch;import export specialist in electrical household appliances
financial and insurance services branch managers;narrowMatch;insurance agency manager
commercial sales representative;narrowMatch;electricity sales representative
shop manager;narrowMatch;computer software and multimedia shop manager
artistic, cultural and culinary associate professionals;narrowMatch;chefs
metal workers and plastic workers;narrowMatch;multiple machine tool setters, operators, and tenders, metal and plastic
senior government officials;narrowMatch;central bank governor
trade brokers;narrowMatch;non-vessel operating common carrier
healthcare diagnosing or treating practitioners;narrowMatch;optometrists
community and social service occupations;narrowMatch;counselors, social workers, and other community and social service specialists
computer numerical control machine operator;narrowMatch;milling machine operator
financial and investment advisers;narrowMatch;corporate risk manager
sales demonstrators;narrowMatch;promotions demonstrator
hotel and restaurant managers;narrowMatch;hotel managers
biomedical scientist;narrowMatch;cytology screener
visual artists;narrowMatch;video artist
beauticians and related workers;narrowMatch;pedicurist
other sales workers;narrowMatch;fashion and other models
chemical products plant and machine operators;narrowMatch;wax bleacher
managing directors and chief executives;narrowMatch;animal facility manager
wholesale merchant;narrowMatch;wholesale merchant in household goods
pet groomers and animal care workers;narrowMatch;pet sitter
handicraft workers in textile, leather and related materials;narrowMatch;weaver
higher education lecturer;narrowMatch;mathematics lecturer
