head;relation;tail
gastric adenosquamous carcinoma;broadmatch;gastric squamous cell carcinoma
rete testis neoplasm;broadmatch;male reproductive organ cancer
malignant giant cell tumor of soft parts;broadmatch;giant cell tumor
malignant giant cell tumor of soft parts;broadmatch;malignant fibroxanthoma
adenosquamous pancreas carcinoma;broadmatch;adenosquamous carcinoma
adenosquamous pancreas carcinoma;broadmatch;pancreatic ductal adenocarcinoma
cervical adenosquamous carcinoma;broadmatch;cervical adenocarcinoma
third cranial nerve disease;broadmatch;cranial nerve disease
spinal canal intradural extramedullary neoplasm;broadmatch;spinal cancer
eye disease;broadmatch;eye and adnexa disease
volkmann contracture;broadmatch;connective tissue disease
breast papillary carcinoma;broadmatch;breast carcinoma
eccrine papillary adenocarcinoma;broadmatch;eccrine adenocarcinoma
aggressive digital papillary adenocarcinoma;broadmatch;skin carcinoma
lung papillary adenocarcinoma;broadmatch;lung adenocarcinoma
lung papillary adenocarcinoma;broadmatch;papillary adenocarcinoma
ferguson-smith tumor;broadmatch;keratoacanthoma
gastric papillary adenocarcinoma;broadmatch;gastric adenocarcinoma
lung giant cell carcinoma;broadmatch;lung large cell carcinoma
pancreatic gastrinoma;broadmatch;islet cell tumor
gastric gastrinoma;broadmatch;stomach cancer
gastrinoma;broadmatch;neuroendocrine tumor
inhibited male orgasm;broadmatch;male reproductive system disease
vipoma;broadmatch;neuroendocrine tumor
gastric papillary adenocarcinoma;broadmatch;papillary adenocarcinoma
papillary thymic adenocarcinoma;broadmatch;thymus adenocarcinoma
spinal cancer;broadmatch;central nervous system cancer
t-cell adult acute lymphocytic leukemia;broadmatch;t-cell leukemia
spinal cancer;broadmatch;spinal cord disease
trigeminal nerve disease;broadmatch;cranial nerve disease
dental pulp calcification;broadmatch;dental pulp disease
breast medullary carcinoma;broadmatch;breast adenocarcinoma
adult acute lymphocytic leukemia;broadmatch;acute lymphocytic leukemia
acute t cell leukemia;broadmatch;t-cell leukemia
t-cell adult acute lymphocytic leukemia;broadmatch;adult acute lymphocytic leukemia
fallopian tube papillary adenocarcinoma;broadmatch;papillary adenocarcinoma
precursor lymphoblastic lymphoma/leukemia;broadmatch;lymphoblastic leukemia
jaw-winking syndrome;broadmatch;cranial nerve disease
precursor t-lymphoblastic lymphoma/leukemia;broadmatch;precursor lymphoblastic lymphoma/leukemia
fallopian tube serous adenocarcinoma;broadmatch;fallopian tube adenocarcinoma
fallopian tube serous adenocarcinoma;broadmatch;serous cystadenocarcinoma
fallopian tube papillary adenocarcinoma;broadmatch;fallopian tube adenocarcinoma
cranial nerve disease;broadmatch;neuropathy
labyrinthine dysfunction;broadmatch;inner ear disease
small intestinal vasoactive intestinal peptide producing tumor;broadmatch;small intestine cancer
lymphoepithelioma-like carcinoma;broadmatch;carcinoma
adrenal neuroblastoma;broadmatch;adrenal gland cancer
hormone producing pituitary cancer;broadmatch;pituitary cancer
functionless pituitary adenoma;broadmatch;pituitary adenoma
intracranial liposarcoma;broadmatch;liposarcoma
mediastinum liposarcoma;broadmatch;mediastinum sarcoma
mediastinum liposarcoma;broadmatch;liposarcoma
cutaneous liposarcoma;broadmatch;liposarcoma
cutaneous liposarcoma;broadmatch;skin sarcoma
vulvar liposarcoma;broadmatch;liposarcoma
vulvar liposarcoma;broadmatch;vulvar sarcoma
median neuropathy;broadmatch;mononeuritis of upper limb and mononeuritis multiplex
mixed-type liposarcoma;broadmatch;liposarcoma
spindle cell liposarcoma;broadmatch;atypical lipomatous tumor
sclerosing liposarcoma;broadmatch;atypical lipomatous tumor
mixed liposarcoma;broadmatch;liposarcoma
adrenal neuroblastoma;broadmatch;neuroblastoma
adrenal medulla cancer;broadmatch;adrenal gland cancer
mononeuritis of upper limb and mononeuritis multiplex;broadmatch;mononeuritis
intravenous leiomyomatosis;broadmatch;leiomyomatosis
peripheral nervous system disease;broadmatch;nervous system disease
salpingitis;broadmatch;fallopian tube disease
pyosalpinx;broadmatch;salpingitis
salpingitis isthmica nodosa;broadmatch;chronic salpingitis
nerve compression syndrome;broadmatch;peripheral nervous system disease
diffuse peritoneal leiomyomatosis;broadmatch;leiomyomatosis
optic atrophy;broadmatch;optic nerve disease
uterine ligament cancer;broadmatch;uterine cancer
uterine ligament papillary cystadenoma;broadmatch;uterine ligament cancer
rete ovarii cystadenoma;broadmatch;rete ovarii adenoma
rete ovarii cystadenoma;broadmatch;cystadenoma
seminal vesicle cystadenoma;broadmatch;seminal vesicle tumor
seminal vesicle cystadenoma;broadmatch;cystadenoma
pleomorphic liposarcoma;broadmatch;liposarcoma
breast liposarcoma;broadmatch;breast sarcoma
gastric liposarcoma;broadmatch;stomach cancer
cribriform carcinoma;broadmatch;breast carcinoma
embryonal testis carcinoma;broadmatch;embryonal carcinoma
embryonal testis carcinoma;broadmatch;testicular cancer
retinal disease;broadmatch;eye disease
nerve fibre bundle defect;broadmatch;retinal disease
nerve fibre bundle defect;broadmatch;visual pathway disease
extragonadal nonseminomatous germ cell tumor;broadmatch;extragonadal germ cell cancer
large intestine cancer;broadmatch;intestinal cancer
hereditary breast ovarian cancer syndrome;broadmatch;autosomal dominant disease
comedo carcinoma;broadmatch;breast carcinoma in situ
sweat gland carcinoma;broadmatch;skin carcinoma
sweat gland carcinoma;broadmatch;sweat gland cancer
external ear cancer;broadmatch;auditory system cancer
external ear cancer;broadmatch;external ear disease
pleomorphic carcinoma;broadmatch;carcinoma
ovarian embryonal carcinoma;broadmatch;embryonal carcinoma
hereditary breast ovarian cancer syndrome;broadmatch;female reproductive organ cancer
aortic valve insufficiency;broadmatch;aortic valve disease
esophagus liposarcoma;broadmatch;liposarcoma
kidney liposarcoma;broadmatch;liposarcoma
fibroblastic liposarcoma;broadmatch;liposarcoma
liposarcoma of the ovary;broadmatch;liposarcoma
liposarcoma of the ovary;broadmatch;ovary sarcoma
larynx liposarcoma;broadmatch;liposarcoma
pediatric liposarcoma;broadmatch;liposarcoma
esophagus liposarcoma;broadmatch;esophagus sarcoma
hereditary breast ovarian cancer syndrome;broadmatch;breast cancer
adult liposarcoma;broadmatch;liposarcoma
cellular myxoid liposarcoma;broadmatch;liposarcoma
visual cortex disease;broadmatch;visual pathway disease
atypical lipomatous tumor;broadmatch;liposarcoma
werner syndrome;broadmatch;autosomal recessive disease
spondyloepimetaphyseal dysplasia, sponastrime type;broadmatch;spondyloepimetaphyseal dysplasia
subacute lymphocytic thyroiditis;broadmatch;thyroiditis
autoimmune thyroiditis;broadmatch;autoimmune disease of endocrine system
ovarian endometrioid cystadenoma;broadmatch;ovarian cystadenoma
liver lymphoma;broadmatch;liver cancer
liver fibroma;broadmatch;liver neoplasm
leishmaniasis;broadmatch;parasitic protozoa infectious disease
ritter's disease;broadmatch;commensal bacterial infectious disease
pityriasis versicolor;broadmatch;superficial mycosis
peroxisomal disease;broadmatch;inherited metabolic disorder
bladder carcinoma in situ;broadmatch;in situ carcinoma
bladder carcinoma in situ;broadmatch;bladder disease
zellweger syndrome;broadmatch;peroxisomal disease
uterine cervix leukoplakia;broadmatch;cervix disease
polyp of corpus uteri;broadmatch;uterine disease
parotid gland cancer;broadmatch;salivary gland cancer
parotid gland cancer;broadmatch;parotid disease
gastrointestinal lymphoma;broadmatch;gastrointestinal system cancer
intestine carcinoma in situ;broadmatch;in situ carcinoma
esophageal leukoplakia;broadmatch;esophageal disease
lethal midline granuloma;broadmatch;nose disease
systemic lupus erythematosus;broadmatch;autoimmune disease of musculoskeletal system
systemic lupus erythematosus;broadmatch;connective tissue disease
sebaceous gland disease;broadmatch;skin disease
amyloidosis;broadmatch;acquired metabolic disease
acute myeloid leukemia;broadmatch;myeloid leukemia
granuloma inguinale;broadmatch;primary bacterial infectious disease
uterus carcinoma in situ;broadmatch;in situ carcinoma
occipital lobe neoplasm;broadmatch;cerebrum cancer
erythematosquamous dermatosis;broadmatch;skin disease
esophagus carcinoma in situ;broadmatch;in situ carcinoma
rem sleep behavior disorder;broadmatch;sleep disorder
parapsoriasis;broadmatch;psoriasis
anal carcinoma in situ;broadmatch;in situ carcinoma
macroglobulinemia;broadmatch;plasma protein metabolism disease
discoid lupus erythematosus of eyelid;broadmatch;noninfectious dermatoses of eyelid
larynx carcinoma in situ;broadmatch;in situ carcinoma
psoriatic arthritis;broadmatch;syndrome
pityriasis rosea;broadmatch;psoriasis
evans' syndrome;broadmatch;primary thrombocytopenia
retromolar area cancer;broadmatch;oral cavity cancer
wilson disease;broadmatch;metal metabolism disorder
wilson disease;broadmatch;liver disease
atrophic gastritis;broadmatch;gastritis
learning disability;broadmatch;specific developmental disorder
primary thrombocytopenia;broadmatch;autoimmune disease of blood
autoimmune thrombocytopenic purpura;broadmatch;primary thrombocytopenia
skin melanoma;broadmatch;skin cancer
skin melanoma;broadmatch;melanoma
leukoplakia of vagina;broadmatch;vaginal disease
dermatophytosis;broadmatch;cutaneous mycosis
tinea nigra;broadmatch;superficial mycosis
progressive myoclonus epilepsy;broadmatch;variable age at onset electroclinical syndrome
mitochondrial encephalomyopathy;broadmatch;mitochondrial myopathy
plantar fascial fibromatosis;broadmatch;connective tissue disease
waldeyer's ring cancer;broadmatch;oropharynx cancer
seborrheic infantile dermatitis;broadmatch;seborrheic dermatitis
autosomal dominant polycystic kidney disease;broadmatch;autosomal dominant disease
hepatopulmonary syndrome;broadmatch;liver disease
degenerative disc disease;broadmatch;bone deterioration disease
polycythemia vera;broadmatch;polycythemia
cervix uteri carcinoma in situ;broadmatch;in situ carcinoma
choledochal cyst;broadmatch;bile duct disease
subacute sclerosing panencephalitis;broadmatch;viral infectious disease
lattice corneal dystrophy;broadmatch;epithelial-stromal tgfbi dystrophy
tonsillar fossa cancer;broadmatch;oropharynx cancer
metal metabolism disorder;broadmatch;inherited metabolic disorder
cowpox;broadmatch;viral infectious disease
sideroblastic anemia;broadmatch;aplastic anemia
diabetic retinopathy;broadmatch;retinal vascular disease
severe nonproliferative diabetic retinopathy;broadmatch;diabetic retinopathy
eczema herpeticum;broadmatch;herpes simplex
lower gum cancer;broadmatch;gum cancer
atrophic muscular disease;broadmatch;neuromuscular disease
liver carcinoma in situ;broadmatch;in situ carcinoma
urea cycle disorder;broadmatch;amino acid metabolic disorder
cystinuria;broadmatch;amino acid metabolic disorder
histidine metabolism disease;broadmatch;amino acid metabolic disorder
homocystinuria;broadmatch;amino acid metabolic disorder
nasopharynx carcinoma;broadmatch;pharynx cancer
waardenburg's syndrome;broadmatch;autosomal dominant disease
colorectal cancer;broadmatch;large intestine cancer
frontotemporal dementia;broadmatch;basal ganglia disease
mast-cell leukemia;broadmatch;leukemia
gastrointestinal stromal tumor;broadmatch;gastrointestinal system cancer
amino acid metabolic disorder;broadmatch;inherited metabolic disorder
beemer-langer syndrome;broadmatch;syndrome
pallister-hall syndrome;broadmatch;physical disorder
glycine encephalopathy;broadmatch;amino acid metabolic disorder
maple syrup urine disease;broadmatch;organic acidemia
alkaptonuria;broadmatch;amino acid metabolic disorder
phenylketonuria;broadmatch;amino acid metabolic disorder
lip disease;broadmatch;mouth disease
cleft lip;broadmatch;orofacial cleft
myopathy of extraocular muscle;broadmatch;myopathy
priapism;broadmatch;peripheral vascular disease
borderline glaucoma;broadmatch;glaucoma
ocular hypertension;broadmatch;eye disease
carbamoyl phosphate synthetase i deficiency disease;broadmatch;amino acid metabolic disorder
ornithine carbamoyltransferase deficiency;broadmatch;urea cycle disorder
hyperhomocysteinemia;broadmatch;amino acid metabolic disorder
hyperargininemia;broadmatch;urea cycle disorder
primary cerebellar degeneration;broadmatch;neurodegenerative disease
tyrosinemia;broadmatch;amino acid metabolic disorder
hyperlysinemia;broadmatch;amino acid metabolic disorder
citrullinemia;broadmatch;urea cycle disorder
cerebral amyloid angiopathy;broadmatch;amyloidosis
alagille syndrome;broadmatch;liver disease
erythromelalgia;broadmatch;peripheral vascular disease
mucocutaneous leishmaniasis;broadmatch;leishmaniasis
liver leiomyoma;broadmatch;liver neoplasm
wiskott-aldrich syndrome;broadmatch;x-linked disease
neurotic excoriation;broadmatch;dermatitis
achalasia;broadmatch;esophageal disease
liver neoplasm;broadmatch;hepatobiliary benign neoplasm
gas gangrene;broadmatch;commensal bacterial infectious disease
variola minor;broadmatch;smallpox
submandibular gland cancer;broadmatch;salivary gland cancer
hard palate cancer;broadmatch;oral cavity cancer
visceral leishmaniasis;broadmatch;leishmaniasis
xeroderma of eyelid;broadmatch;noninfectious dermatoses of eyelid
peliosis hepatis;broadmatch;hepatic vascular disease
stomach carcinoma in situ;broadmatch;in situ carcinoma
stomach carcinoma in situ;broadmatch;stomach disease
submandibular gland cancer;broadmatch;submandibular gland disease
rectum carcinoma in situ;broadmatch;in situ carcinoma
pyriform sinus cancer;broadmatch;hypopharynx cancer
barrett's esophagus;broadmatch;esophageal disease
kidney carcinoma in situ;broadmatch;in situ carcinoma
pompholyx;broadmatch;sweat gland disease
central sleep apnea;broadmatch;sleep apnea
pityriasis rubra pilaris;broadmatch;psoriasis
geniculate herpes zoster;broadmatch;viral infectious disease
periodic limb movement disorder;broadmatch;sleep disorder
lichen planus;broadmatch;lichen disease
liver inflammatory pseudotumor;broadmatch;liver disease
dyskinesia of esophagus;broadmatch;esophageal disease
diabetic macular edema;broadmatch;diabetic retinopathy
vestibule of mouth cancer;broadmatch;oral cavity cancer
pemphigus;broadmatch;bullous skin disease
amebiasis;broadmatch;parasitic protozoa infectious disease
psoriasis;broadmatch;skin disease
chorioretinitis;broadmatch;eye disease
hereditary conventional renal cell carcinoma;broadmatch;hereditary renal cell carcinoma
multiple carboxylase deficiency;broadmatch;carbohydrate metabolic disorder
recurrent hypersomnia;broadmatch;sleep disorder
oral cavity cancer;broadmatch;gastrointestinal system cancer
peyronie's disease;broadmatch;penile disease
herpetic whitlow;broadmatch;herpes simplex
gum cancer;broadmatch;oral cavity cancer
upper gum cancer;broadmatch;gum cancer
scarlet fever;broadmatch;upper respiratory tract disease
chronic monocytic leukemia;broadmatch;monocytic leukemia
acute vascular insufficiency of intestine;broadmatch;intestinal disease
holocarboxylase synthetase deficiency;broadmatch;multiple carboxylase deficiency
burkitt lymphoma;broadmatch;mature b-cell neoplasm
soft palate cancer;broadmatch;oral cavity cancer
ulcerative colitis;broadmatch;colitis
lichen disease;broadmatch;skin disease
lichen nitidus;broadmatch;lichen disease
diplegia of upper limb;broadmatch;nervous system disease
measles;broadmatch;viral infectious disease
hodgkin's lymphoma, lymphocytic depletion;broadmatch;hodgkin's lymphoma
phlebitis;broadmatch;vein disease
tongue cancer;broadmatch;tongue disease
substance-induced psychosis;broadmatch;psychotic disorder
subacute delirium;broadmatch;substance-induced psychosis
gastroduodenitis;broadmatch;peptic ulcer disease
duodenitis;broadmatch;intestinal disease
hodgkin's paragranuloma;broadmatch;hodgkin's lymphoma
uvula cancer;broadmatch;soft palate cancer
nervous system disease;broadmatch;disease of anatomical entity
prostate carcinoma in situ;broadmatch;in situ carcinoma
prostate carcinoma in situ;broadmatch;prostate disease
chronic intestinal vascular insufficiency;broadmatch;intestinal disease
kaposi's sarcoma;broadmatch;central nervous system cancer
kaposi's sarcoma;broadmatch;connective tissue cancer
upper lip cancer;broadmatch;lip cancer
multiple carboxylase deficiency;broadmatch;amino acid metabolic disorder
infectious mononucleosis;broadmatch;viral infectious disease
lower lip cancer;broadmatch;lip cancer
hodgkin's lymphoma;broadmatch;lymphoma
polymyalgia rheumatica;broadmatch;collagen disease
polymyalgia rheumatica;broadmatch;myopathy
ulcer of lower limbs;broadmatch;chronic ulcer of skin
monocytic leukemia;broadmatch;myeloid leukemia
barbiturate abuse;broadmatch;substance abuse
acute cor pulmonale;broadmatch;acute pulmonary heart disease
pulmonary embolism and infarction;broadmatch;acute pulmonary heart disease
cor pulmonale;broadmatch;congestive heart failure
acute pulmonary heart disease;broadmatch;cor pulmonale
puerperal pulmonary embolism;broadmatch;pulmonary embolism
bartholin's duct cyst;broadmatch;female reproductive system disease
subcorneal pustular dermatosis;broadmatch;bullous skin disease
juvenile dermatitis herpetiformis;broadmatch;dermatitis herpetiformis
bullous pemphigoid;broadmatch;autoimmune disease of skin and connective tissue
dermatitis herpetiformis;broadmatch;bullous skin disease
hypopharynx cancer;broadmatch;pharynx cancer
gastroesophageal reflux disease;broadmatch;gastrointestinal system disease
herpes zoster;broadmatch;viral infectious disease
pyoderma gangrenosum;broadmatch;pyoderma
herpes simplex;broadmatch;viral infectious disease
lip cancer;broadmatch;lip disease
lip cancer;broadmatch;oral cavity cancer
biotinidase deficiency;broadmatch;multiple carboxylase deficiency
oropharynx cancer;broadmatch;pharynx cancer
vallecula cancer;broadmatch;oropharynx cancer
chronic myeloid leukemia;broadmatch;myeloid leukemia
reticulosarcoma;broadmatch;lymphatic system cancer
chronic ulcer of skin;broadmatch;skin disease
malignant hyperthermia;broadmatch;genetic disease
chronic fatigue syndrome;broadmatch;syndrome
hodgkin's lymphoma, lymphocytic-histiocytic predominance;broadmatch;hodgkin's lymphoma
sezary's disease;broadmatch;cutaneous t cell lymphoma
collagen disease;broadmatch;connective tissue disease
tongue cancer;broadmatch;oral cavity cancer
vasculitis;broadmatch;vascular disease
hodgkin's granuloma;broadmatch;hodgkin's lymphoma
hodgkin's lymphoma, mixed cellularity;broadmatch;hodgkin's lymphoma
heterophyiasis;broadmatch;parasitic helminthiasis infectious disease
intermediate coronary syndrome;broadmatch;coronary artery disease
trachea carcinoma in situ;broadmatch;in situ carcinoma
lung carcinoma in situ;broadmatch;in situ carcinoma
lung carcinoma in situ;broadmatch;lung disease
eye carcinoma in situ;broadmatch;in situ carcinoma
breast carcinoma in situ;broadmatch;in situ carcinoma
disseminated chorioretinitis;broadmatch;chorioretinitis
rubella;broadmatch;viral infectious disease
crohn's disease;broadmatch;inflammatory bowel disease
contagious pustular dermatitis;broadmatch;viral infectious disease
megakaryocytic leukemia;broadmatch;leukemia
gastric mucosal hypertrophy;broadmatch;gastritis
subacute myeloid leukemia;broadmatch;myeloid leukemia
colon carcinoma in situ;broadmatch;in situ carcinoma
parasitic helminthiasis infectious disease;broadmatch;parasitic infectious disease
hodgkin's lymphoma, nodular sclerosis;broadmatch;hodgkin's lymphoma
acute monocytic leukemia;broadmatch;monocytic leukemia
rosacea;broadmatch;skin disease
fasciolopsiasis;broadmatch;parasitic helminthiasis infectious disease
penis carcinoma in situ;broadmatch;in situ carcinoma
neuromyelitis optica;broadmatch;central nervous system disease
molluscum contagiosum;broadmatch;viral infectious disease
actinic keratosis;broadmatch;pre-malignant neoplasm
pulmonary subvalvular stenosis;broadmatch;pulmonary valve stenosis
metagonimiasis;broadmatch;parasitic helminthiasis infectious disease
tonsil cancer;broadmatch;oropharynx cancer
lupus erythematosus;broadmatch;hypersensitivity reaction type ii disease
salivary gland cancer;broadmatch;oral cavity cancer
salivary gland cancer;broadmatch;salivary gland disease
fascioliasis;broadmatch;parasitic helminthiasis infectious disease
sublingual gland cancer;broadmatch;salivary gland cancer
erythema infectiosum;broadmatch;viral exanthem
myeloid sarcoma;broadmatch;hematologic cancer
paraneoplastic polyneuropathy;broadmatch;inflammatory and toxic neuropathy
perinatal necrotizing enterocolitis;broadmatch;gastrointestinal system disease
viral exanthem;broadmatch;exanthem
eating disorder;broadmatch;specific developmental disorder
maxillary sinus cholesteatoma;broadmatch;paranasal sinus disease
tonsillar pillar cancer;broadmatch;oropharynx cancer
aryepiglottic fold cancer;broadmatch;hypopharynx cancer
lip carcinoma in situ;broadmatch;lip disease
lip carcinoma in situ;broadmatch;in situ carcinoma
postcricoid region cancer;broadmatch;hypopharynx cancer
vein disease;broadmatch;vascular disease
chickenpox;broadmatch;viral infectious disease
skin carcinoma in situ;broadmatch;in situ carcinoma
leukoplakia of penis;broadmatch;penile disease
decubitus ulcer;broadmatch;chronic ulcer of skin
smallpox;broadmatch;viral infectious disease
carotid body cancer;broadmatch;vascular cancer
anaerobic pneumonia;broadmatch;aspiration pneumonia
milker's nodule;broadmatch;viral infectious disease
in situ carcinoma;broadmatch;pre-malignant neoplasm
neurofibromatosis;broadmatch;autosomal dominant disease
cholesteatoma;broadmatch;keratosis
genital herpes;broadmatch;herpes simplex
cheek mucosa cancer;broadmatch;oral cavity cancer
neuropathy;broadmatch;peripheral nervous system disease
subacute monocytic leukemia;broadmatch;monocytic leukemia
myeloid leukemia;broadmatch;leukemia
mycosis fungoides;broadmatch;cutaneous t cell lymphoma
myocardium cancer;broadmatch;heart cancer
language disorder;broadmatch;communication disorder
orbital disease;broadmatch;eye adnexa disease
transient neonatal thrombocytopenia;broadmatch;transient neonatal neutropenia
tuberculous peritonitis;broadmatch;gastrointestinal tuberculosis
choroidal sclerosis;broadmatch;eye degenerative disease
eye degenerative disease;broadmatch;eye disease
hereditary choroidal atrophy;broadmatch;choroidal sclerosis
toxocariasis;broadmatch;parasitic helminthiasis infectious disease
angioid streaks of choroid;broadmatch;choroidal sclerosis
angioid streaks of choroid;broadmatch;choroid disease
angioid streaks of choroid;broadmatch;angioid streaks
myositis fibrosa;broadmatch;myositis
bulbar polio;broadmatch;paralytic poliomyelitis
trichinosis;broadmatch;parasitic helminthiasis infectious disease
bowel dysfunction;broadmatch;intestinal disease
senile atrophy of choroid;broadmatch;choroidal sclerosis
diastolic heart failure;broadmatch;congestive heart failure
goodpasture syndrome;broadmatch;hypersensitivity reaction type ii disease
hypersensitivity vasculitis;broadmatch;hypersensitivity reaction type iii disease
diffuse secondary choroid atrophy;broadmatch;choroidal sclerosis
hyperopia;broadmatch;refractive error
hypotropia;broadmatch;strabismus
esotropia;broadmatch;strabismus
accommodative esotropia;broadmatch;esotropia
cyclotropia;broadmatch;strabismus
refractive error;broadmatch;eye disease
neonatal abstinence syndrome;broadmatch;withdrawal disorder
polyarteritis nodosa;broadmatch;vasculitis
radioulnar synostosis;broadmatch;physical disorder
partial central choroid dystrophy;broadmatch;hereditary choroidal atrophy
choroideremia;broadmatch;retinal degeneration
choroideremia;broadmatch;choroid disease
central gyrate choroidal dystrophy;broadmatch;partial central choroid dystrophy
partial circumpapillary choroid dystrophy;broadmatch;hereditary choroidal atrophy
female breast upper-outer quadrant cancer;broadmatch;female breast cancer
heart aneurysm;broadmatch;heart disease
neurofibroma of the heart;broadmatch;neurofibroma
myocardial stunning;broadmatch;myocardial infarction
vitreous abscess;broadmatch;purulent endophthalmitis
vitreous abscess;broadmatch;vitreous disease
ophthalmia nodosa;broadmatch;eye disease
vitreous disease;broadmatch;eye and adnexa disease
proliferative vitreoretinopathy;broadmatch;vitreous disease
proliferative vitreoretinopathy;broadmatch;retinal disease
hydrops of gallbladder;broadmatch;gallbladder disease
occlusion of gallbladder;broadmatch;gallbladder disease
tendinitis;broadmatch;myositis
rosacea conjunctivitis;broadmatch;conjunctivitis
bacterial conjunctivitis;broadmatch;conjunctivitis
tenosynovitis;broadmatch;tendinitis
tenosynovitis;broadmatch;arthropathy
ophthalmia neonatorum;broadmatch;bacterial conjunctivitis
gonococcal endophthalmia;broadmatch;endophthalmitis
purulent endophthalmitis;broadmatch;endophthalmitis
vitreous detachment;broadmatch;vitreous disease
renal tuberculosis;broadmatch;urogenital tuberculosis
ganglion or cyst of synovium/tendon/bursa;broadmatch;arthropathy
hemorrhoid;broadmatch;pelvic varices
perianal hematoma;broadmatch;hemorrhoid
acute allergic mucoid otitis media;broadmatch;blue drum syndrome
pelvic varices;broadmatch;varicose veins
biliary tract disease;broadmatch;hepatobiliary disease
postcholecystectomy syndrome;broadmatch;biliary tract disease
upper respiratory tract disease;broadmatch;respiratory system disease
eustachian tube disease;broadmatch;non-suppurative otitis media
blue drum syndrome;broadmatch;acute transudative otitis media
total circumpapillary dystrophy of choroid;broadmatch;hereditary choroidal atrophy
monofixation syndrome;broadmatch;strabismus
peripheral vertigo;broadmatch;vestibular disease
endolymphatic hydrops;broadmatch;peripheral vertigo
hemometra;broadmatch;uterine disease
periostitis;broadmatch;connective tissue disease
hypoplastic left heart syndrome;broadmatch;congenital heart disease
null-cell leukemia;broadmatch;acute lymphocytic leukemia
b- and t-cell mixed leukemia;broadmatch;acute lymphocytic leukemia
acute lymphocytic leukemia;broadmatch;lymphoblastic leukemia
residual stage corticosteroid-induced glaucoma;broadmatch;steroid-induced glaucoma
steroid-induced glaucoma;broadmatch;glaucoma
constant exophthalmos;broadmatch;orbital disease
lymph node disease;broadmatch;lymphatic system disease
dacryocystocele;broadmatch;chronic inflammation of lacrimal passage
dacryocystitis;broadmatch;acute inflammation of lacrimal passage
chronic dacryocystitis;broadmatch;dacryocystitis
chronic dacryocystitis;broadmatch;chronic inflammation of lacrimal passage
chronic canaliculitis;broadmatch;chronic inflammation of lacrimal passage
toxoplasmosis;broadmatch;coccidiosis
carotenemia;broadmatch;acquired metabolic disease
uterine inversion;broadmatch;uterine disease
acute female pelvic peritonitis;broadmatch;pelvic inflammatory disease
hypoglycemia;broadmatch;endocrine pancreas disease
hypereosinophilic syndrome;broadmatch;leukocyte disease
tertiary neurosyphilis;broadmatch;tertiary syphilis
orbit sarcoma;broadmatch;orbital cancer
orbit lymphoma;broadmatch;orbital cancer
eosinophilia-myalgia syndrome;broadmatch;hypereosinophilic syndrome
obesity;broadmatch;overnutrition
heroin dependence;broadmatch;opiate dependence
drug dependence;broadmatch;substance dependence
substance dependence;broadmatch;substance-related disorder
hypervitaminosis a;broadmatch;overnutrition
hypervitaminosis d;broadmatch;overnutrition
chronic inflammation of lacrimal passage;broadmatch;lacrimal apparatus disease
waterhouse-friderichsen syndrome;broadmatch;adrenal gland disease
developmental coordination disorder;broadmatch;specific developmental disorder
miliary tuberculosis;broadmatch;extrapulmonary tuberculosis
galactosemia;broadmatch;carbohydrate metabolic disorder
alopecia;broadmatch;hypotrichosis
hereditary fructose intolerance syndrome;broadmatch;carbohydrate metabolic disorder
intestinal disaccharidase deficiency;broadmatch;intestinal disease
intestinal disaccharidase deficiency;broadmatch;carbohydrate metabolic disorder
toxic maculopathy;broadmatch;degeneration of macula and posterior pole
alopecia areata;broadmatch;hypersensitivity reaction type ii disease
mitral valve prolapse;broadmatch;mitral valve disease
deep keratitis;broadmatch;keratitis
interstitial keratitis;broadmatch;deep keratitis
interstitial keratitis;broadmatch;connective tissue disease
lingual-facial-buccal dyskinesia;broadmatch;movement disease
meniere's disease;broadmatch;endolymphatic hydrops
urethral gland abscess;broadmatch;urethral disease
cardiovascular syphilis;broadmatch;tertiary syphilis
omsk hemorrhagic fever;broadmatch;viral infectious disease
meibomian cyst;broadmatch;blepharitis
hydrocele;broadmatch;male reproductive system disease
infected hydrocele;broadmatch;hydrocele
central corneal ulcer;broadmatch;corneal ulcer
hordeolum;broadmatch;eyelid disease
internal hordeolum;broadmatch;hordeolum
follicular mucinosis;broadmatch;sebaceous gland disease
congenital heart block;broadmatch;atrioventricular block
becker muscular dystrophy;broadmatch;muscular dystrophy
villonodular synovitis;broadmatch;arthropathy
periodontosis;broadmatch;tooth disease
median arcuate ligament syndrome;broadmatch;syndrome
median arcuate ligament syndrome;broadmatch;artery disease
alternating esotropia;broadmatch;esotropia
gonococcal keratitis;broadmatch;keratitis
toxic myocarditis;broadmatch;acute myocarditis
yellow fever;broadmatch;viral infectious disease
pulmonary eosinophilia;broadmatch;hypereosinophilic syndrome
fatty liver disease;broadmatch;lipid storage disease
cholangitis;broadmatch;bile duct disease
cervix squamous papilloma;broadmatch;cervical benign neoplasm
cervical mullerian papilloma;broadmatch;cervical benign neoplasm
renal glycosuria;broadmatch;renal tubular transport disease
intracranial hypertension;broadmatch;brain disease
hypertensive encephalopathy;broadmatch;intracranial hypertension
blepharitis;broadmatch;eyelid disease
allergic asthma;broadmatch;asthma
diabetes insipidus;broadmatch;kidney disease
strictly posterior acute myocardial infarction;broadmatch;acute myocardial infarction
hypopituitarism;broadmatch;pituitary gland disease
