head;relation;tail
bicycle courier;broadmatch;hand and pedal vehicle drivers
hand and pedal vehicle drivers;narrowmatch;bicycle courier
call centre agent;broadmatch;contact centre salespersons
data entry clerk;broadmatch;data entry clerks
screen making technician;broadmatch;prepress technician
data entry clerks;narrowmatch;data entry clerk
man-made fiber spinner;broadmatch;spinning machine operator
spinning machine operator;narrowmatch;man-made fiber spinner
twisting machine operator;broadmatch;spinning machine operator
spinning machine operator;narrowmatch;twisting machine operator
yarn spinner;broadmatch;spinning machine operator
system configurator;broadmatch;ict system administrator
ict system administrator;narrowmatch;ict network administrator
ict network administrator;broadmatch;ict system administrator
drivers of animal-drawn vehicles and machinery;narrowmatch;carriage driver
software developer;narrowmatch;blockchain developer
blockchain developer;broadmatch;software developer
hotel managers;narrowmatch;hospitality entertainment manager
hospitality entertainment manager;broadmatch;hotel managers
hotel managers;narrowmatch;accommodation manager
accommodation manager;broadmatch;hotel managers
hotel managers;narrowmatch;rooms division manager
rooms division manager;broadmatch;hotel managers
hand packers;narrowmatch;hand packer
hand packer;broadmatch;hand packers
hand packers;narrowmatch;clothing finisher
clothing finisher;broadmatch;hand packers
land surveyor;narrowmatch;mine surveyor
spinning machine operator;narrowmatch;yarn spinner
tooling engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;tooling engineer
mine ventilation engineer;broadmatch;mechanical engineer
agricultural engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;heating, ventilation, air conditioning engineer
mechanical engineer;narrowmatch;agricultural engineer
business services agents;narrowmatch;clearing and forwarding agents
heating, ventilation, air conditioning engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;welding engineer
welding engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;rotating equipment engineer
rotating equipment engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;container equipment design engineer
container equipment design engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;engine designer
engine designer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;mine ventilation engineer
mechanical engineer;narrowmatch;packing machinery engineer
equipment engineer;broadmatch;mechanical engineer
packing machinery engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;industrial tool design engineer
industrial tool design engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;naval architect
naval architect;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;marine engineer
marine engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;fluid power engineer
fluid power engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;powertrain engineer
powertrain engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;automotive engineer
automotive engineer;broadmatch;mechanical engineer
mechanical engineer;narrowmatch;equipment engineer
mine surveyor;broadmatch;land surveyor
land surveyor;narrowmatch;hydrographic surveyor
hydrographic surveyor;broadmatch;land surveyor
building caretaker;broadmatch;building caretakers
pest management worker;broadmatch;fumigators and other pest and weed controllers
pest management worker;narrowmatch;pesticides sprayer
pesticides sprayer;broadmatch;pest management worker
midwifery associate professionals;narrowmatch;maternity support worker
maternity support worker;broadmatch;midwifery associate professionals
typists and word processing operators;narrowmatch;typist
typist;broadmatch;typists and word processing operators
domestic cleaners and helpers;narrowmatch;domestic cleaner
domestic cleaner;broadmatch;domestic cleaners and helpers
vehicle cleaners;narrowmatch;vehicle cleaner
vehicle cleaner;broadmatch;vehicle cleaners
metal production process controllers;narrowmatch;metal furnace operator
metal furnace operator;broadmatch;metal production process controllers
building caretakers;narrowmatch;building caretaker
building caretaker;narrowmatch;amusement park cleaner
payroll clerk;broadmatch;payroll clerks
amusement park cleaner;broadmatch;building caretaker
building caretaker;narrowmatch;house sitter
house sitter;broadmatch;building caretaker
building caretaker;narrowmatch;verger
verger;broadmatch;building caretaker
pre-press technicians;narrowmatch;prepress technician
prepress technician;broadmatch;pre-press technicians
prepress technician;narrowmatch;lithographer
lithographer;broadmatch;prepress technician
prepress technician;narrowmatch;typesetter
typesetter;broadmatch;prepress technician
prepress technician;narrowmatch;prepress operator
prepress operator;broadmatch;prepress technician
prepress technician;narrowmatch;screen making technician
fumigators and other pest and weed controllers;narrowmatch;pest management worker
payroll clerks;narrowmatch;payroll clerk
house builders;narrowmatch;house builder
environmental education officer;broadmatch;tourist guide
house builder;broadmatch;house builders
radiographer;narrowmatch;nuclear medicine radiographer
nuclear medicine radiographer;broadmatch;radiographer
radiographer;narrowmatch;therapeutic radiographer
therapeutic radiographer;broadmatch;radiographer
radiographer;narrowmatch;diagnostic radiographer
diagnostic radiographer;broadmatch;radiographer
travel guides;narrowmatch;tourist guide
tourist guide;broadmatch;travel guides
tourist guide;narrowmatch;zoo educator
zoo educator;broadmatch;tourist guide
tourist guide;narrowmatch;park guide
park guide;broadmatch;tourist guide
tourist guide;narrowmatch;environmental education officer
coding, proof-reading and related clerks;narrowmatch;proofreader
spokesperson;broadmatch;public relations officer
proofreader;broadmatch;coding, proof-reading and related clerks
building construction labourers;narrowmatch;building construction worker
building construction worker;broadmatch;building construction labourers
event manager;narrowmatch;venue director
venue director;broadmatch;event manager
event manager;narrowmatch;wedding planner
wedding planner;broadmatch;event manager
clay kiln burner;narrowmatch;tunnel kiln operator
tunnel kiln operator;broadmatch;clay kiln burner
clay kiln burner;narrowmatch;clay products dry kiln operator
clay products dry kiln operator;broadmatch;clay kiln burner
motorcycle drivers;narrowmatch;motorcycle delivery person
motorcycle delivery person;broadmatch;motorcycle drivers
public relations officer;narrowmatch;spokesperson
real estate agents and property managers;broadmatch;business services agents
social and religious professionals;narrowmatch;religious professionals
clearing and forwarding agents;broadmatch;business services agents
engineering professionals (excluding electrotechnology);narrowmatch;engineering professionals not elsewhere classified
engineering professionals (excluding electrotechnology);narrowmatch;mechanical engineers
civil engineers;broadmatch;engineering professionals (excluding electrotechnology)
engineering professionals (excluding electrotechnology);narrowmatch;civil engineers
industrial and production engineers;broadmatch;engineering professionals (excluding electrotechnology)
engineering professionals (excluding electrotechnology);narrowmatch;industrial and production engineers
engineering professionals not elsewhere classified;broadmatch;engineering professionals (excluding electrotechnology)
chemical engineers;broadmatch;engineering professionals (excluding electrotechnology)
creative and performing artists;narrowmatch;musicians, singers and composers
engineering professionals (excluding electrotechnology);narrowmatch;chemical engineers
mining engineers, metallurgists and related professionals;broadmatch;engineering professionals (excluding electrotechnology)
engineering professionals (excluding electrotechnology);narrowmatch;mining engineers, metallurgists and related professionals
librarians and related information professionals;broadmatch;librarians, archivists and curators
librarians, archivists and curators;narrowmatch;librarians and related information professionals
archivists and curators;broadmatch;librarians, archivists and curators
mechanical engineers;broadmatch;engineering professionals (excluding electrotechnology)
engineering professionals (excluding electrotechnology);narrowmatch;environmental engineers
environmental engineers;broadmatch;engineering professionals (excluding electrotechnology)
life science professionals;narrowmatch;farming, forestry and fisheries advisers
farming, forestry and fisheries advisers;broadmatch;life science professionals
life science professionals;narrowmatch;environmental protection professionals
environmental protection professionals;broadmatch;life science professionals
life science professionals;narrowmatch;biologists, botanists, zoologists and related professionals
biologists, botanists, zoologists and related professionals;broadmatch;life science professionals
physical and earth science professionals;narrowmatch;geologists and geophysicists
geologists and geophysicists;broadmatch;physical and earth science professionals
physical and earth science professionals;narrowmatch;chemists
chemists;broadmatch;physical and earth science professionals
physical and earth science professionals;narrowmatch;meteorologists
meteorologists;broadmatch;physical and earth science professionals
physical and earth science professionals;narrowmatch;physicists and astronomers
physicists and astronomers;broadmatch;physical and earth science professionals
librarians, archivists and curators;narrowmatch;archivists and curators
religious professionals;broadmatch;social and religious professionals
philosophers, historians and political scientists;broadmatch;social and religious professionals
legal professionals;narrowmatch;lawyers
creative and performing artists;narrowmatch;announcers on radio, television and other media
announcers on radio, television and other media;broadmatch;creative and performing artists
creative and performing artists;narrowmatch;dancers and choreographers
dancers and choreographers;broadmatch;creative and performing artists
creative and performing artists;narrowmatch;visual artists
visual artists;broadmatch;creative and performing artists
creative and performing artists;narrowmatch;creative and performing artists not elsewhere classified
creative and performing artists not elsewhere classified;broadmatch;creative and performing artists
creative and performing artists;narrowmatch;actors
actors;broadmatch;creative and performing artists
legal professionals;narrowmatch;legal professionals not elsewhere classified
legal professionals not elsewhere classified;broadmatch;legal professionals
legal professionals;narrowmatch;judges
judges;broadmatch;legal professionals
lawyers;broadmatch;legal professionals
social and religious professionals;narrowmatch;philosophers, historians and political scientists
authors, journalists and linguists;narrowmatch;authors and related writers
authors and related writers;broadmatch;authors, journalists and linguists
authors, journalists and linguists;narrowmatch;translators, interpreters and other linguists
translators, interpreters and other linguists;broadmatch;authors, journalists and linguists
authors, journalists and linguists;narrowmatch;journalists
journalists;broadmatch;authors, journalists and linguists
social and religious professionals;narrowmatch;economists
economists;broadmatch;social and religious professionals
social and religious professionals;narrowmatch;social work and counselling professionals
social work and counselling professionals;broadmatch;social and religious professionals
social and religious professionals;narrowmatch;psychologists
psychologists;broadmatch;social and religious professionals
social and religious professionals;narrowmatch;sociologists, anthropologists and related professionals
sociologists, anthropologists and related professionals;broadmatch;social and religious professionals
architects, planners, surveyors and designers;narrowmatch;building architects
building architects;broadmatch;architects, planners, surveyors and designers
architects, planners, surveyors and designers;narrowmatch;town and traffic planners
personal service workers;narrowmatch;travel attendants, conductors and guides
sales workers;narrowmatch;street and market salespersons
street and market salespersons;broadmatch;sales workers
service and sales workers;narrowmatch;sales workers
sales workers;broadmatch;service and sales workers
service and sales workers;narrowmatch;personal service workers
personal service workers;broadmatch;service and sales workers
service and sales workers;narrowmatch;protective services workers
protective services workers;broadmatch;service and sales workers
service and sales workers;narrowmatch;personal care workers
personal care workers;broadmatch;service and sales workers
personal service workers;narrowmatch;waiters and bartenders
waiters and bartenders;broadmatch;personal service workers
personal service workers;narrowmatch;hairdressers, beauticians and related workers
hairdressers, beauticians and related workers;broadmatch;personal service workers
travel attendants, conductors and guides;broadmatch;personal service workers
sales workers;narrowmatch;shop salespersons
personal service workers;narrowmatch;other personal services workers
other personal services workers;broadmatch;personal service workers
personal service workers;narrowmatch;cooks
cooks;broadmatch;personal service workers
personal service workers;narrowmatch;building and housekeeping supervisors
building and housekeeping supervisors;broadmatch;personal service workers
protective services workers;narrowmatch;security guards
security guards;broadmatch;protective services workers
protective services workers;narrowmatch;fire-fighters
fire-fighters;broadmatch;protective services workers
protective services workers;narrowmatch;protective services workers not elsewhere classified
mechanical engineer;narrowmatch;precision engineer
protective services workers not elsewhere classified;broadmatch;protective services workers
protective services workers;narrowmatch;prison guards
shop salespersons;broadmatch;sales workers
cashiers and ticket clerks;broadmatch;sales workers
town and traffic planners;broadmatch;architects, planners, surveyors and designers
other sales workers;narrowmatch;sales demonstrators
architects, planners, surveyors and designers;narrowmatch;product and garment designers
product and garment designers;broadmatch;architects, planners, surveyors and designers
architects, planners, surveyors and designers;narrowmatch;graphic and multimedia designers
graphic and multimedia designers;broadmatch;architects, planners, surveyors and designers
architects, planners, surveyors and designers;narrowmatch;cartographers and surveyors
cartographers and surveyors;broadmatch;architects, planners, surveyors and designers
architects, planners, surveyors and designers;narrowmatch;landscape architects
landscape architects;broadmatch;architects, planners, surveyors and designers
electrotechnology engineers;narrowmatch;electrical engineers
electrical engineers;broadmatch;electrotechnology engineers
electrotechnology engineers;narrowmatch;electronics engineers
electronics engineers;broadmatch;electrotechnology engineers
electrotechnology engineers;narrowmatch;telecommunications engineers
telecommunications engineers;broadmatch;electrotechnology engineers
sales demonstrators;broadmatch;other sales workers
sales workers;narrowmatch;cashiers and ticket clerks
other sales workers;narrowmatch;sales workers not elsewhere classified
sales workers not elsewhere classified;broadmatch;other sales workers
other sales workers;narrowmatch;door to door salespersons
door to door salespersons;broadmatch;other sales workers
other sales workers;narrowmatch;service station attendants
service station attendants;broadmatch;other sales workers
other sales workers;narrowmatch;fashion and other models
fashion and other models;broadmatch;other sales workers
other sales workers;narrowmatch;contact centre salespersons
contact centre salespersons;broadmatch;other sales workers
other sales workers;narrowmatch;food service counter attendants
food service counter attendants;broadmatch;other sales workers
sales workers;narrowmatch;other sales workers
other sales workers;broadmatch;sales workers
musicians, singers and composers;broadmatch;creative and performing artists
film, stage and related directors and producers;broadmatch;creative and performing artists
business services agents;narrowmatch;conference and event planners
science and engineering associate professionals;narrowmatch;process control technicians
health associate professionals;narrowmatch;medical and pharmaceutical technicians
veterinary technicians and assistants;broadmatch;health associate professionals
health associate professionals;narrowmatch;veterinary technicians and assistants
other health associate professionals;broadmatch;health associate professionals
health associate professionals;narrowmatch;other health associate professionals
process control technicians;broadmatch;science and engineering associate professionals
ship and aircraft controllers and technicians;broadmatch;science and engineering associate professionals
creative and performing artists;narrowmatch;film, stage and related directors and producers
science and engineering associate professionals;narrowmatch;ship and aircraft controllers and technicians
physical and engineering science technicians;broadmatch;science and engineering associate professionals
science and engineering associate professionals;narrowmatch;physical and engineering science technicians
life science technicians and related associate professionals;broadmatch;science and engineering associate professionals
science and engineering associate professionals;narrowmatch;life science technicians and related associate professionals
mining, manufacturing and construction supervisors;broadmatch;science and engineering associate professionals
medical and pharmaceutical technicians;broadmatch;health associate professionals
health associate professionals;narrowmatch;traditional and complementary medicine associate professionals
traditional and complementary medicine associate professionals;broadmatch;health associate professionals
health associate professionals;narrowmatch;nursing and midwifery associate professionals
nursing and midwifery associate professionals;broadmatch;health associate professionals
legal, social, cultural and related associate professionals;narrowmatch;sports and fitness workers
sports and fitness workers;broadmatch;legal, social, cultural and related associate professionals
legal, social, cultural and related associate professionals;narrowmatch;legal, social and religious associate professionals
legal, social and religious associate professionals;broadmatch;legal, social, cultural and related associate professionals
legal, social, cultural and related associate professionals;narrowmatch;artistic, cultural and culinary associate professionals
artistic, cultural and culinary associate professionals;broadmatch;legal, social, cultural and related associate professionals
information and communications technicians;narrowmatch;telecommunications and broadcasting technicians
telecommunications and broadcasting technicians;broadmatch;information and communications technicians
information and communications technicians;narrowmatch;information and communications technology operations and user support technicians
information and communications technology operations and user support technicians;broadmatch;information and communications technicians
software and applications developers and analysts;narrowmatch;web and multimedia developers
web and multimedia developers;broadmatch;software and applications developers and analysts
science and engineering associate professionals;narrowmatch;mining, manufacturing and construction supervisors
medical secretaries;broadmatch;administrative and specialised secretaries
administrative and specialised secretaries;narrowmatch;medical secretaries
government tax and excise officials;broadmatch;regulatory government associate professionals
conference and event planners;broadmatch;business services agents
business services agents;narrowmatch;business services agents not elsewhere classified
business services agents not elsewhere classified;broadmatch;business services agents
business services agents;narrowmatch;employment agents and contractors
employment agents and contractors;broadmatch;business services agents
sales and purchasing agents and brokers;narrowmatch;trade brokers
trade brokers;broadmatch;sales and purchasing agents and brokers
sales and purchasing agents and brokers;narrowmatch;commercial sales representatives
commercial sales representatives;broadmatch;sales and purchasing agents and brokers
sales and purchasing agents and brokers;narrowmatch;insurance representatives
insurance representatives;broadmatch;sales and purchasing agents and brokers
sales and purchasing agents and brokers;narrowmatch;buyers
buyers;broadmatch;sales and purchasing agents and brokers
regulatory government associate professionals;narrowmatch;government tax and excise officials
regulatory government associate professionals;narrowmatch;government licensing officials
legal secretaries;broadmatch;administrative and specialised secretaries
government licensing officials;broadmatch;regulatory government associate professionals
regulatory government associate professionals;narrowmatch;police inspectors and detectives
police inspectors and detectives;broadmatch;regulatory government associate professionals
regulatory government associate professionals;narrowmatch;regulatory government associate professionals not elsewhere classified
regulatory government associate professionals not elsewhere classified;broadmatch;regulatory government associate professionals
regulatory government associate professionals;narrowmatch;government social benefits officials
government social benefits officials;broadmatch;regulatory government associate professionals
regulatory government associate professionals;narrowmatch;customs and border inspectors
customs and border inspectors;broadmatch;regulatory government associate professionals
administrative and specialised secretaries;narrowmatch;administrative and executive secretaries
administrative and executive secretaries;broadmatch;administrative and specialised secretaries
administrative and specialised secretaries;narrowmatch;office supervisors
office supervisors;broadmatch;administrative and specialised secretaries
administrative and specialised secretaries;narrowmatch;legal secretaries
software and applications developers and analysts;narrowmatch;systems analysts
systems analysts;broadmatch;software and applications developers and analysts
software and applications developers and analysts;narrowmatch;software and applications developers and analysts not elsewhere classified
ship and aircraft controllers and technicians;narrowmatch;air traffic controllers
physical and engineering science technicians;narrowmatch;electrical engineering technicians
electrical engineering technicians;broadmatch;physical and engineering science technicians
physical and engineering science technicians;narrowmatch;electronics engineering technicians
electronics engineering technicians;broadmatch;physical and engineering science technicians
physical and engineering science technicians;narrowmatch;chemical and physical science technicians
chemical and physical science technicians;broadmatch;physical and engineering science technicians
physical and engineering science technicians;narrowmatch;chemical engineering technicians
chemical engineering technicians;broadmatch;physical and engineering science technicians
ship and aircraft controllers and technicians;narrowmatch;ships' deck officers and pilots
ships' deck officers and pilots;broadmatch;ship and aircraft controllers and technicians
ship and aircraft controllers and technicians;narrowmatch;aircraft pilots and related associate professionals
aircraft pilots and related associate professionals;broadmatch;ship and aircraft controllers and technicians
ship and aircraft controllers and technicians;narrowmatch;ships’ engineers
ships’ engineers;broadmatch;ship and aircraft controllers and technicians
air traffic controllers;broadmatch;ship and aircraft controllers and technicians
physical and engineering science technicians;narrowmatch;civil engineering technicians
ship and aircraft controllers and technicians;narrowmatch;air traffic safety electronics technicians
air traffic safety electronics technicians;broadmatch;ship and aircraft controllers and technicians
process control technicians;narrowmatch;incinerator and water treatment plant operators
incinerator and water treatment plant operators;broadmatch;process control technicians
process control technicians;narrowmatch;chemical processing plant controllers
chemical processing plant controllers;broadmatch;process control technicians
process control technicians;narrowmatch;power production plant operators
power production plant operators;broadmatch;process control technicians
process control technicians;narrowmatch;petroleum and natural gas refining plant operators
petroleum and natural gas refining plant operators;broadmatch;process control technicians
process control technicians;narrowmatch;process control technicians not elsewhere classified
process control technicians not elsewhere classified;broadmatch;process control technicians
process control technicians;narrowmatch;metal production process controllers
metal production process controllers;broadmatch;process control technicians
civil engineering technicians;broadmatch;physical and engineering science technicians
mining and metallurgical technicians;broadmatch;physical and engineering science technicians
software and applications developers and analysts not elsewhere classified;broadmatch;software and applications developers and analysts
mining, manufacturing and construction supervisors;narrowmatch;construction supervisors
software and applications developers and analysts;narrowmatch;software developers
software developers;broadmatch;software and applications developers and analysts
software and applications developers and analysts;narrowmatch;applications programmers
applications programmers;broadmatch;software and applications developers and analysts
database and network professionals;narrowmatch;systems administrators
systems administrators;broadmatch;database and network professionals
database and network professionals;narrowmatch;database designers and administrators
database designers and administrators;broadmatch;database and network professionals
database and network professionals;narrowmatch;database and network professionals not elsewhere classified
database and network professionals not elsewhere classified;broadmatch;database and network professionals
database and network professionals;narrowmatch;computer network professionals
computer network professionals;broadmatch;database and network professionals
mining, manufacturing and construction supervisors;narrowmatch;manufacturing supervisors
manufacturing supervisors;broadmatch;mining, manufacturing and construction supervisors
construction supervisors;broadmatch;mining, manufacturing and construction supervisors
physical and engineering science technicians;narrowmatch;mining and metallurgical technicians
mining, manufacturing and construction supervisors;narrowmatch;mining supervisors
mining supervisors;broadmatch;mining, manufacturing and construction supervisors
life science technicians and related associate professionals;narrowmatch;life science technicians (excluding medical)
life science technicians (excluding medical);broadmatch;life science technicians and related associate professionals
life science technicians and related associate professionals;narrowmatch;agricultural technicians
agricultural technicians;broadmatch;life science technicians and related associate professionals
life science technicians and related associate professionals;narrowmatch;forestry technicians
forestry technicians;broadmatch;life science technicians and related associate professionals
physical and engineering science technicians;narrowmatch;mechanical engineering technicians
mechanical engineering technicians;broadmatch;physical and engineering science technicians
physical and engineering science technicians;narrowmatch;physical and engineering science technicians not elsewhere classified
physical and engineering science technicians not elsewhere classified;broadmatch;physical and engineering science technicians
physical and engineering science technicians;narrowmatch;draughtspersons
draughtspersons;broadmatch;physical and engineering science technicians
precision engineer;broadmatch;mechanical engineer
home care aide;broadmatch;home-based personal care workers
steam engineer;broadmatch;mechanical engineer
stonemasons, stone cutters, splitters and carvers;narrowmatch;stonemason
personal services workers not elsewhere classified;narrowmatch;escort
data centre operator;broadmatch;information and communications technology operations technicians
information and communications technology operations technicians;narrowmatch;data centre operator
stone engraver;broadmatch;stonemason
stonemason;narrowmatch;stone engraver
stonemason;broadmatch;stonemasons, stone cutters, splitters and carvers
light board operator;broadmatch;theatre technician
leather production machine operator;broadmatch;fur and leather preparing machine operators
theatre technician;narrowmatch;light board operator
followspot operator;broadmatch;theatre technician
theatre technician;narrowmatch;followspot operator
stage machinist;broadmatch;theatre technician
theatre technician;narrowmatch;stage machinist
stage technician;broadmatch;theatre technician
escort;broadmatch;personal services workers not elsewhere classified
personal services workers not elsewhere classified;narrowmatch;club host/club hostess
club host/club hostess;broadmatch;personal services workers not elsewhere classified
personal services workers not elsewhere classified;narrowmatch;dating service consultant
dating service consultant;broadmatch;personal services workers not elsewhere classified
health and safety engineer;narrowmatch;fire prevention and protection engineer
fire prevention and protection engineer;broadmatch;health and safety engineer
health and safety officer;narrowmatch;ergonomist
ergonomist;broadmatch;health and safety officer
telecommunications engineering technicians;narrowmatch;telecommunications engineering technician
telecommunications engineering technician;broadmatch;telecommunications engineering technicians
bioengineer;narrowmatch;biomedical engineer
biomedical engineer;broadmatch;bioengineer
home-based personal care workers;narrowmatch;home care aide
photographers;narrowmatch;photojournalist
photojournalist;broadmatch;photographers
photographers;narrowmatch;photographer
theatre technician;narrowmatch;stage technician
scenery technician;broadmatch;theatre technician
theatre technician;narrowmatch;scenery technician
outdoor activities coordinator;broadmatch;activity leader
colour sampling operator;broadmatch;leather production machine operator
leather production machine operator;narrowmatch;leather finishing operator
leather finishing operator;broadmatch;leather production machine operator
fashion and other models;narrowmatch;fashion model
fashion model;broadmatch;fashion and other models
fashion and other models;narrowmatch;art model
art model;broadmatch;fashion and other models
specialist medical practitioners;narrowmatch;specialised doctor
specialised doctor;broadmatch;specialist medical practitioners
optometrists and ophthalmic opticians;narrowmatch;orthoptist
orthoptist;broadmatch;optometrists and ophthalmic opticians
optometrists and ophthalmic opticians;narrowmatch;optometrist
optometrist;broadmatch;optometrists and ophthalmic opticians
activity leader;narrowmatch;outdoor activities coordinator
activity leader;narrowmatch;outdoor animator
pharmacy technician;broadmatch;pharmaceutical technicians and assistants
outdoor animator;broadmatch;activity leader
sawmill operator;narrowmatch;table saw operator
table saw operator;broadmatch;sawmill operator
sawmill operator;narrowmatch;veneer slicer operator
veneer slicer operator;broadmatch;sawmill operator
sawmill operator;narrowmatch;wood router operator
wood router operator;broadmatch;sawmill operator
sawmill operator;narrowmatch;planer thicknesser operator
planer thicknesser operator;broadmatch;sawmill operator
sawmill operator;narrowmatch;band saw operator
band saw operator;broadmatch;sawmill operator
pharmaceutical technicians and assistants;narrowmatch;pharmacy assistant
pharmacy assistant;broadmatch;pharmaceutical technicians and assistants
pharmaceutical technicians and assistants;narrowmatch;pharmacy technician
photographer;broadmatch;photographers
computer network professionals;narrowmatch;ict network engineer
ict network engineer;broadmatch;computer network professionals
climatologist;broadmatch;meteorologist
language school teacher;broadmatch;other language teachers
police officers;narrowmatch;police officer
police officer;broadmatch;police officers
linguist;narrowmatch;lawyer linguist
lawyer linguist;broadmatch;linguist
environmental engineers;narrowmatch;environmental expert
environmental expert;broadmatch;environmental engineers
environmental engineers;narrowmatch;wastewater engineer
wastewater engineer;broadmatch;environmental engineers
environmental engineers;narrowmatch;environmental engineer
environmental engineer;broadmatch;environmental engineers
chief data officer;narrowmatch;ict information and knowledge manager
ict information and knowledge manager;broadmatch;chief data officer
meteorologist;narrowmatch;climatologist
meteorologist;narrowmatch;weather forecaster
sign language teacher;broadmatch;other language teachers
weather forecaster;broadmatch;meteorologist
meteorologist;narrowmatch;aviation meteorologist
aviation meteorologist;broadmatch;meteorologist
poultry producers;narrowmatch;poultry breeder
poultry breeder;broadmatch;poultry producers
poultry producers;narrowmatch;poultry sexer
poultry sexer;broadmatch;poultry producers
product quality inspector;narrowmatch;cigar inspector
cigar inspector;broadmatch;product quality inspector
product quality inspector;narrowmatch;clothing quality inspector
clothing quality inspector;broadmatch;product quality inspector
product quality inspector;narrowmatch;precision device inspector
precision device inspector;broadmatch;product quality inspector
product quality inspector;narrowmatch;textile quality inspector
other language teachers;narrowmatch;language school teacher
other language teachers;narrowmatch;sign language teacher
computer network professionals;narrowmatch;ict capacity planner
medical laboratory assistant;broadmatch;medical and pathology laboratory technicians
ict capacity planner;broadmatch;computer network professionals
computer network professionals;narrowmatch;ict network architect
ict network architect;broadmatch;computer network professionals
secretaries (general);narrowmatch;secretary
secretary;broadmatch;secretaries (general)
crop farm labourers;narrowmatch;fruit and vegetable picker
fruit and vegetable picker;broadmatch;crop farm labourers
crop farm labourers;narrowmatch;vineyard worker
vineyard worker;broadmatch;crop farm labourers
blacksmith;narrowmatch;farrier
farrier;broadmatch;blacksmith
mixed crop and livestock farm labourers;narrowmatch;crop production worker
crop production worker;broadmatch;mixed crop and livestock farm labourers
medical and pathology laboratory technicians;narrowmatch;medical laboratory assistant
air conditioning and refrigeration mechanics;narrowmatch;heating and ventilation service engineer
file clerk;broadmatch;filing and copying clerks
heating and ventilation service engineer;broadmatch;air conditioning and refrigeration mechanics
business manager;narrowmatch;branch manager
branch manager;broadmatch;business manager
traditional and complementary medicine associate professionals;narrowmatch;herbal therapist
herbal therapist;broadmatch;traditional and complementary medicine associate professionals
materials engineer;narrowmatch;nanoengineer
nanoengineer;broadmatch;materials engineer
materials engineer;narrowmatch;wood technology engineer
wood technology engineer;broadmatch;materials engineer
laundry worker;narrowmatch;laundry ironer
laundry ironer;broadmatch;laundry worker
sweepers and related labourers;narrowmatch;street sweeper
street sweeper;broadmatch;sweepers and related labourers
filing and copying clerks;narrowmatch;file clerk
leather production machine operator;narrowmatch;colour sampling operator
fur and leather preparing machine operators;narrowmatch;leather production machine operator
mechanical engineer;narrowmatch;steam engineer
brazier;broadmatch;welders and flamecutters
shotfirer;broadmatch;shotfirers and blasters
shotfirers and blasters;narrowmatch;shotfirer
warehouse order picker;broadmatch;warehouse worker
warehouse worker;narrowmatch;warehouse order picker
welding coordinator;broadmatch;welders and flamecutters
welders and flamecutters;narrowmatch;welding coordinator
welders and flamecutters;narrowmatch;brazier
beauty salon manager;broadmatch;recreational facilities manager
welder;broadmatch;welders and flamecutters
welders and flamecutters;narrowmatch;welder
solderer;broadmatch;welders and flamecutters
welders and flamecutters;narrowmatch;solderer
forklift operator;broadmatch;lifting truck operators
lifting truck operators;narrowmatch;forklift operator
environmental technician;narrowmatch;groundwater monitoring technician
groundwater monitoring technician;broadmatch;environmental technician
dental assistants and therapists;narrowmatch;dental hygienist
dental hygienist;broadmatch;dental assistants and therapists
dental assistants and therapists;narrowmatch;dental chairside assistant
dental chairside assistant;broadmatch;dental assistants and therapists
petroleum and natural gas refining plant operators;narrowmatch;petroleum pump system operator
petroleum pump system operator;broadmatch;petroleum and natural gas refining plant operators
petroleum and natural gas refining plant operators;narrowmatch;refinery shift manager
refinery shift manager;broadmatch;petroleum and natural gas refining plant operators
petroleum and natural gas refining plant operators;narrowmatch;gas processing plant operator
gas processing plant operator;broadmatch;petroleum and natural gas refining plant operators
petroleum and natural gas refining plant operators;narrowmatch;gas processing plant control room operator
gas processing plant control room operator;broadmatch;petroleum and natural gas refining plant operators
petroleum and natural gas refining plant operators;narrowmatch;oil refinery control room operator
oil refinery control room operator;broadmatch;petroleum and natural gas refining plant operators
welder;narrowmatch;spot welder
housing support worker;broadmatch;social care worker
social care worker;narrowmatch;housing support worker
residential home older adult care worker;broadmatch;social care worker
social care worker;narrowmatch;disability support worker
fisheries boatmaster;broadmatch;fisheries master
protective services workers;narrowmatch;police officers
underwater divers;narrowmatch;harvest diver
harvest diver;broadmatch;underwater divers
underwater divers;narrowmatch;rescue diver
rescue diver;broadmatch;underwater divers
underwater divers;narrowmatch;construction commercial diver
construction commercial diver;broadmatch;underwater divers
social care worker;narrowmatch;adult community care worker
adult community care worker;broadmatch;social care worker
social care worker;narrowmatch;family support worker
family support worker;broadmatch;social care worker
