head;relation;tail
inflammatory bowel disease 4;broadmatch;inflammatory bowel disease
inflammatory bowel disease 6;broadmatch;inflammatory bowel disease
inflammatory bowel disease 8;broadmatch;inflammatory bowel disease
waardenburg syndrome,  iia 2c;broadmatch;waardenburg syndrome
spinocerebellar ataxia 15;broadmatch;spinocerebellar ataxia
amyotrophic lateral sclerosis 3;broadmatch;amyotrophic lateral sclerosis
charcot-marie-tooth disease, axonal,  iia 2f;broadmatch;charcot-marie-tooth disease
ciliary dyskinesia, primary, 2;broadmatch;primary ciliary dyskinesia
albinism, oculocutaneous,  iia 4;broadmatch;oculocutaneous albinism
episodic ataxia,  iia 3;broadmatch;episodic ataxia
episodic ataxia,  iia 4;broadmatch;episodic ataxia
ichthyosis, congenital, autosomal recessive 3;broadmatch;ichthyosis, congenital, autosomal recessive
charcot-marie-tooth disease, axonal,  iia 2gg;broadmatch;charcot-marie-tooth disease
charcot-marie-tooth disease, dominant intermediate b;broadmatch;charcot-marie-tooth disease
deafness, autosomal dominant 30;broadmatch;deafness, autosomal dominant
ehlers-danlos syndrome, classic-like;broadmatch;ehlers-danlos syndrome
immunodeficiency 41 with lymphoproliferation and autoimmunity;broadmatch;immunodeficiency (select examples)
inflammatory bowel disease 5;broadmatch;inflammatory bowel disease
deafness, autosomal dominant 22;broadmatch;deafness, autosomal dominant
heterotaxy, visceral, 3, autosomal;broadmatch;heterotaxy, visceral
parkinson disease 7, autosomal recessive early-onset;broadmatch;parkinson disease
deafness, autosomal dominant 24;broadmatch;deafness, autosomal dominant
hyperinsulinemic hypoglycemia, familial, 6;broadmatch;hyperinsulinemia hypoglycemia
spermatogenic failure 3;broadmatch;spermatogenic failure
muscular dystrophy-dystroglycanopathy (limb-girdle),  iia c, 5;broadmatch;muscular dystrophy-dystroglycanopathy, type c
deafness, autosomal recessive 22;broadmatch;deafness, autosomal recessive
muscular dystrophy-dystroglycanopathy (limb-girdle),  iia c, 5;broadmatch;muscular dystrophy, limb-girdle, autosomal recessive
spastic paraplegia 19, autosomal dominant;broadmatch;spastic paraplegia
moyamoya disease 2;broadmatch;moyamoya disease
congenital disorder of glycosylation,  iia ig;broadmatch;congenital disorders of glycosylation, type i
spinocerebellar ataxia 17;broadmatch;spinocerebellar ataxia
specific language impairment 3;broadmatch;specific language impairment
deafness, autosomal recessive 30;broadmatch;deafness, autosomal recessive
congenital disorder of glycosylation,  iia iid;broadmatch;congenital disorders of glycosylation, type ii
aortic aneurysm, familial thoracic 2;broadmatch;aortic aneurysm, familial thoracic
aortic aneurysm, familial thoracic 1;broadmatch;aortic aneurysm, familial thoracic
deafness, autosomal recessive 31;broadmatch;deafness, autosomal recessive
epiphyseal dysplasia, multiple, 5;broadmatch;epiphyseal dysplasia, multiple
parkinson disease 8, autosomal dominant;broadmatch;parkinson disease
deafness, autosomal dominant 21;broadmatch;deafness, autosomal dominant
glut1 deficiency syndrome 1;broadmatch;glut1 deficiency syndrome
scheie syndrome;broadmatch;mucopolysaccharidoses
hurler-scheie syndrome;broadmatch;mucopolysaccharidoses
hurler syndrome;broadmatch;mucopolysaccharidoses
senior-loken syndrome 4;broadmatch;senior-loken syndrome
senior-loken syndrome 3;broadmatch;senior-loken syndrome
epilepsy, idiopathic generalized, susceptibility to, 2;broadmatch;epilepsy, idiopathic generalized
nephronophthisis 4;broadmatch;nephronophthisis
albinism, oculocutaneous,  iia 1b;broadmatch;oculocutaneous albinism
usher syndrome,  iia 1g;broadmatch;usher syndrome
hirschsprung disease, susceptibility to, 7;broadmatch;hirschsprung disease
hirschsprung disease, susceptibility to, 6;broadmatch;hirschsprung disease
parkinson disease 10;broadmatch;parkinson disease
immunodeficiency with hyper-igm,  iia 3;broadmatch;immunodeficiency with hyper-igm
crigler-najjar syndrome,  iia 2;broadmatch;hyperbilirubinemia
seizures, benign familial infantile, 3;broadmatch;seizures, benign familial infantile
hypercholanemia, familial 1;broadmatch;hypercholanemia, familial
bile acid synthesis defect, congenital, 1;broadmatch;bile acid synthesis defect, congenital
deafness, autosomal dominant 31;broadmatch;deafness, autosomal dominant
spinocerebellar ataxia 8;broadmatch;spinocerebellar ataxia
epilepsy, idiopathic generalized, susceptibility to, 3;broadmatch;epilepsy, idiopathic generalized
cardiomyopathy, familial hypertrophic, 10;broadmatch;cardiomyopathy, familial hypertrophic
cardiomyopathy, familial hypertrophic, 8;broadmatch;cardiomyopathy, familial hypertrophic
microcephaly 5, primary, autosomal recessive;broadmatch;microcephaly, primary
spinocerebellar ataxia 25;broadmatch;spinocerebellar ataxia
spinocerebellar ataxia 20;broadmatch;spinocerebellar ataxia
spondylocostal dysostosis 2, autosomal recessive;broadmatch;spondylocostal dysostosis
charcot-marie-tooth disease, axonal,  iia 2l;broadmatch;charcot-marie-tooth disease
neuropathy, hereditary sensory and autonomic,  iia 5;broadmatch;hereditary sensory and autonomic neuropathy
deafness, autosomal recessive 32, with or without immotile sperm;broadmatch;deafness, autosomal recessive
deafness, autosomal dominant 47;broadmatch;deafness, autosomal dominant
ciliary dyskinesia, primary, 5;broadmatch;primary ciliary dyskinesia
ciliary dyskinesia, primary, 4;broadmatch;primary ciliary dyskinesia
ciliary dyskinesia, primary, 3;broadmatch;primary ciliary dyskinesia
congenital disorder of glycosylation,  iia iie;broadmatch;congenital disorders of glycosylation, type ii
deafness, autosomal dominant 28;broadmatch;deafness, autosomal dominant
asperger syndrome, susceptibility to, 1;broadmatch;asperger syndrome, susceptibility to
chromosome 15q11-q13 duplication syndrome;broadmatch;autism, susceptiblity to
asperger syndrome, susceptibility to, 2;broadmatch;asperger syndrome, susceptibility to
joubert syndrome 3;broadmatch;joubert syndrome
amyotrophic lateral sclerosis 8;broadmatch;amyotrophic lateral sclerosis
mandibuloacral dysplasia with  iia b lipodystrophy;broadmatch;mandibuloacral dysplasia with lipodystrophy
lipodystrophy, familial partial,  iia 1;broadmatch;lipodystrophy, familial partial
lipodystrophy, congenital generalized,  iia 1;broadmatch;lipodystrophy, congenital generalized
keratoconus 3;broadmatch;keratoconus
atrial fibrillation, familial, 1;broadmatch;atrial fibrillation, familial
cardiomyopathy, dilated, 1o;broadmatch;dilated cardiomyopathy
sick sinus syndrome 1;broadmatch;sick sinus syndrome
deafness, autosomal recessive 35;broadmatch;deafness, autosomal recessive
congenital disorder of glycosylation,  iia il;broadmatch;congenital disorders of glycosylation, type i
asperger syndrome, susceptibility to, 3;broadmatch;asperger syndrome, susceptibility to
charcot-marie-tooth disease, dominant intermediate d;broadmatch;charcot-marie-tooth disease
myopia 6;broadmatch;myopia
fanconi anemia, complementation group 1;broadmatch;fanconi anemia
spondylometaphyseal dysplasia,  iia a4;broadmatch;spondylometaphyseal dysplasia
melanoma, cutaneous malignant, susceptibility to, 3;broadmatch;melanoma, cutaneous malignant
spastic paraplegia 27, autosomal recessive;broadmatch;spastic paraplegia
arrhythmogenic right ventricular dysplasia, familial, 9;broadmatch;arrhythmogenic right ventricular dysplasia
narcolepsy 3;broadmatch;narcolepsy
cataract 28;broadmatch;cataract
deafness, autosomal recessive 36, with or without vestibular involvement;broadmatch;deafness, autosomal recessive
premature ovarian failure 3;broadmatch;premature ovarian failure
atrial fibrillation, familial, 2;broadmatch;atrial fibrillation, familial
macular dystrophy, patterned, 2;broadmatch;macular dystrophy, patterned
keratoconus 2;broadmatch;keratoconus
myasthenic syndrome, congenital, 4c, associated with acetylcholine receptor deficiency;broadmatch;myasthenic syndrome, congenital
myasthenic syndrome, congenital, 1b, fast-channel;broadmatch;myasthenic syndrome, congenital
hemophagocytic lymphohistiocytosis, familial, 3;broadmatch;hemophagocytic lymphohistiocytosis, familial
pyruvate dehydrogenase phosphatase deficiency;broadmatch;pyruvate dehydrogenase complex deficiency
neuropathy, hereditary, with or without age-related macular degeneration;broadmatch;macular degeneration, age-related
waardenburg syndrome,  iia 2d;broadmatch;waardenburg syndrome
orofacial cleft 5;broadmatch;orofacial cleft
orofacial cleft 6, susceptibility to;broadmatch;orofacial cleft
muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development),  iia b, 6;broadmatch;muscular dystrophy-dystroglycanopathy, type b
restless legs syndrome, susceptibility to, 2;broadmatch;restless legs syndrome
myoclonic epilepsy, juvenile, susceptibility to, 3;broadmatch;epilepsy, myoclonic juvenile
myopathy, myofibrillar, 2;broadmatch;myopathy, myofibrillar
muscular dystrophy, limb-girdle, autosomal recessive 10;broadmatch;muscular dystrophy, limb-girdle, autosomal recessive
avascular necrosis of femoral head, primary, 1;broadmatch;avascular necrosis of femoral head, primary
leukodystrophy, hypomyelinating, 2;broadmatch;leukodystrophy, hypomyelinating
congenital disorder of glycosylation,  iia ie;broadmatch;congenital disorders of glycosylation, type i
moyamoya disease 3;broadmatch;moyamoya disease
otosclerosis 5;broadmatch;otosclerosis
polydactyly, postaxial,  iia a4;broadmatch;polydactyly, postaxial
leber congenital amaurosis 9;broadmatch;leber congenital amaurosis
aneurysm, intracranial berry, 2;broadmatch;aneurysm, intracranial berry
spinocerebellar ataxia, autosomal recessive 6;broadmatch;spinocerebellar ataxia, autosomal recessive
immunodeficiency with hyper-igm,  iia 5;broadmatch;immunodeficiency with hyper-igm
congenital disorder of glycosylation,  iia ih;broadmatch;congenital disorders of glycosylation, type i
muscular dystrophy, limb-girdle, autosomal recessive 3;broadmatch;muscular dystrophy, limb-girdle, autosomal recessive
periventricular nodular heterotopia 3;broadmatch;periventricular nodular heterotopia
periventricular heterotopia with microcephaly, autosomal recessive;broadmatch;periventricular nodular heterotopia
epilepsy, familial temporal lobe, 2;broadmatch;epilepsy, familial temporal lobe
congenital disorder of glycosylation,  iia ij;broadmatch;congenital disorders of glycosylation, type i
joubert syndrome 2;broadmatch;joubert syndrome
neuropathy, hereditary sensory and autonomic,  iia i, with cough and gastroesophageal reflux;broadmatch;hereditary sensory and autonomic neuropathy
autism, susceptibility to, 3;broadmatch;autism, susceptiblity to
melanoma, cutaneous malignant, susceptibility to, 4;broadmatch;melanoma, cutaneous malignant
encephalopathy, acute, infection-induced, susceptibility to, 3;broadmatch;encephalopathy/encephalitis, acute, infection-induced
amyotrophic lateral sclerosis 7;broadmatch;amyotrophic lateral sclerosis
amyotrophic lateral sclerosis 6 with or without frontotemporal dementia;broadmatch;amyotrophic lateral sclerosis
pontocerebellar hypoplasia,  iia 3;broadmatch;pontocerebellar hypoplasia
congenital disorder of glycosylation,  iia ik;broadmatch;congenital disorders of glycosylation, type i
spondyloenchondrodysplasia with immune dysregulation;broadmatch;spondylometaphyseal dysplasia
atrial septal defect 2;broadmatch;atrial septal defect
peeling skin syndrome 4;broadmatch;peeling skin syndrome
microphthalmia, syndromic 6;broadmatch;microphthalmia, syndromic
retinitis pigmentosa 30;broadmatch;retinitis pigmentosa
congenital disorder of glycosylation,  iia ii;broadmatch;congenital disorders of glycosylation, type i
hypotrichosis 6;broadmatch;hypotrichosis
epilepsy, familial adult myoclonic, 2;broadmatch;epilepsy, familial adult myoclonic
psoriasis 9, susceptibility to;broadmatch;psoriasis
deafness, autosomal dominant 48;broadmatch;deafness, autosomal dominant
focal segmental glomerulosclerosis 3, susceptibility to;broadmatch;focal segmental glomerulosclerosis
charcot-marie-tooth disease, axonal,  iia 2k;broadmatch;charcot-marie-tooth disease
mitral valve prolapse 2;broadmatch;mitral valve prolapse, myxomatous
deafness, autosomal recessive 37;broadmatch;deafness, autosomal recessive
retinitis pigmentosa 7;broadmatch;leber congenital amaurosis
retinitis pigmentosa 7;broadmatch;retinitis pigmentosa
macular dystrophy, vitelliform, 3;broadmatch;macular dystrophy, vitelliform
immunodeficiency with hyper-igm,  iia 4;broadmatch;immunodeficiency with hyper-igm
orofaciodigital syndrome 7;broadmatch;orofaciodigital syndrome
myopia 5, autosomal dominant;broadmatch;myopia
hirschsprung disease, susceptibility to, 8;broadmatch;hirschsprung disease
familial adenomatous polyposis 2;broadmatch;familial adenomatous polyposis
inflammatory bowel disease 9;broadmatch;inflammatory bowel disease
muscular dystrophy, limb-girdle, autosomal dominant 2;broadmatch;muscular dystrophy, limb-girdle, autosomal dominant
platelet glycoprotein 4 deficiency;broadmatch;bleeding disorder, platelet-type
deafness, autosomal dominant 43;broadmatch;deafness, autosomal dominant
microcephaly 6, primary, autosomal recessive;broadmatch;microcephaly, primary
retinitis pigmentosa 26;broadmatch;retinitis pigmentosa
deafness, autosomal dominant 49;broadmatch;deafness, autosomal dominant
orofacial cleft 4;broadmatch;orofacial cleft
myopia 17, autosomal dominant;broadmatch;myopia
nystagmus 3, congenital, autosomal dominant;broadmatch;nystagmus, congenital
charcot-marie-tooth disease, recessive intermediate a;broadmatch;charcot-marie-tooth disease
weill-marchesani syndrome 2;broadmatch;weill-marchesani syndrome
charcot-marie-tooth disease, dominant intermediate c;broadmatch;charcot-marie-tooth disease
deafness, autosomal recessive 39;broadmatch;deafness, autosomal recessive
deafness, autosomal recessive 40;broadmatch;deafness, autosomal recessive
otosclerosis 3;broadmatch;otosclerosis
hermansky-pudlak syndrome 2;broadmatch;hermansky-pudlak syndrome
deafness, autosomal dominant 41;broadmatch;deafness, autosomal dominant
spastic paraplegia 25, autosomal recessive;broadmatch;spastic paraplegia
deafness, autosomal recessive 38;broadmatch;deafness, autosomal recessive
seizures, benign familial neonatal, 3;broadmatch;seizures, benign familial neonatal
kala-azar, susceptibility to, 1;broadmatch;kala-azar, susceptibility to
immunodeficiency 73a with defective neutrophil chemotaxis and leukocytosis;broadmatch;immunodeficiency (select examples)
cone-rod dystrophy 13;broadmatch;cone-rod dystrophy/cone dystrophy
paget disease of bone 4;broadmatch;paget disease of bone
atrioventricular septal defect, susceptibility to, 2;broadmatch;atrioventricular septal defect
dystonia 34, myoclonic;broadmatch;dystonia
cholestasis, progressive familial intrahepatic, 3;broadmatch;cholestasis, progressive familial intrahepatic
bartter syndrome,  iia 4a, neonatal, with sensorineural deafness;broadmatch;bartter syndrome
hyperinsulinemic hypoglycemia, familial, 3;broadmatch;hyperinsulinemia hypoglycemia
auriculocondylar syndrome 1;broadmatch;auriculocondylar syndrome
axenfeld-rieger syndrome,  iia 3;broadmatch;axenfeld-rieger syndrome
migraine, familial hemiplegic, 2;broadmatch;migraine, familial hemiplegic
epilepsy, idiopathic generalized, susceptibility to, 17;broadmatch;epilepsy, generalized, with febrile seizures plus
epilepsy, idiopathic generalized, susceptibility to, 17;broadmatch;epilepsy, idiopathic generalized
epilepsy, idiopathic generalized, susceptibility to, 17;broadmatch;seizures, familial febrile
deafness, autosomal dominant 15;broadmatch;deafness, autosomal dominant
amyotrophic lateral sclerosis 4, juvenile;broadmatch;amyotrophic lateral sclerosis
parkinson disease 3, autosomal dominant;broadmatch;parkinson disease
ectodermal dysplasia 8, hair/tooth/nail  iia;broadmatch;ectodermal dysplasia (select examples)
ichthyosis, congenital, autosomal recessive 11;broadmatch;ichthyosis, congenital, autosomal recessive
hemochromatosis,  iia 2a;broadmatch;hemochromatosis
spondylometaphyseal dysplasia, axial;broadmatch;spondylometaphyseal dysplasia
retinitis pigmentosa 22;broadmatch;retinitis pigmentosa
tremor, hereditary essential, 2;broadmatch;tremor, hereditary essential
dystonia 7, torsion;broadmatch;dystonia
amyotrophic lateral sclerosis 5, juvenile;broadmatch;amyotrophic lateral sclerosis
usher syndrome,  iia 1e;broadmatch;usher syndrome
cone dystrophy 3;broadmatch;cone-rod dystrophy/cone dystrophy
deafness, autosomal recessive 18a;broadmatch;deafness, autosomal recessive
nephronophthisis 2;broadmatch;nephronophthisis
arrhythmogenic right ventricular dysplasia, familial, 4;broadmatch;arrhythmogenic right ventricular dysplasia
arrhythmogenic right ventricular dysplasia, familial, 3;broadmatch;arrhythmogenic right ventricular dysplasia
polydactyly, postaxial,  iia a2;broadmatch;polydactyly, postaxial
usher syndrome,  iia 1f;broadmatch;usher syndrome
paget disease of bone 2, early-onset;broadmatch;paget disease of bone
fibrosis of extraocular muscles, congenital, 2;broadmatch;fibrosis of extraocular muscles, congenital
ectodermal dysplasia 4, hair/nail  iia;broadmatch;ectodermal dysplasia (select examples)
congenital disorder of glycosylation,  iia ib;broadmatch;congenital disorders of glycosylation, type i
dystonia 6, torsion;broadmatch;dystonia
thrombocythemia 2;broadmatch;thrombocythemia
myopia 3, autosomal dominant;broadmatch;myopia
deafness, autosomal dominant 17;broadmatch;deafness, autosomal dominant
xanthinuria,  iia 2;broadmatch;xanthinuria
congenital disorder of glycosylation,  iia iif;broadmatch;congenital disorders of glycosylation, type ii
spastic paraplegia 8, autosomal dominant;broadmatch;spastic paraplegia
hemophagocytic lymphohistiocytosis, familial, 2;broadmatch;hemophagocytic lymphohistiocytosis, familial
hemophagocytic lymphohistiocytosis, familial, 4;broadmatch;hemophagocytic lymphohistiocytosis, familial
spondyloepimetaphyseal dysplasia with joint laxity,  iia 2;broadmatch;spondyloepimetaphyseal dysplasia with joint laxity
spinocerebellar ataxia 10;broadmatch;spinocerebellar ataxia
muscular dystrophy, limb-girdle, autosomal dominant 1;broadmatch;muscular dystrophy, limb-girdle, autosomal dominant
fanconi anemia, complementation group f;broadmatch;fanconi anemia
megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1;broadmatch;megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome
cerebral cavernous malformations 3;broadmatch;cerebral cavernous malformations
cerebral cavernous malformations 2;broadmatch;cerebral cavernous malformations
focal segmental glomerulosclerosis 1;broadmatch;focal segmental glomerulosclerosis
epilepsy, nocturnal frontal lobe, 2;broadmatch;epilepsy, nocturnal frontal lobe
tooth agenesis, selective, 2;broadmatch;tooth agenesis, selective
meckel syndrome,  iia 2;broadmatch;meckel syndrome
congenital disorder of glycosylation,  iia ic;broadmatch;congenital disorders of glycosylation, type i
deafness, autosomal recessive 13;broadmatch;deafness, autosomal recessive
macular degeneration, age-related, 1;broadmatch;macular degeneration, age-related
mitochondrial dna depletion syndrome 1 (mngie type);broadmatch;mitochondrial dna depletion syndrome
myasthenic syndrome, congenital, 5;broadmatch;myasthenic syndrome, congenital
deafness, autosomal recessive 17;broadmatch;deafness, autosomal recessive
orofacial cleft 2;broadmatch;orofacial cleft
acromesomelic dysplasia 1;broadmatch;acromesomelic dysplasia
retinitis pigmentosa 25;broadmatch;retinitis pigmentosa
psoriasis 2;broadmatch;psoriasis
renal tubular acidosis, distal, 3, with or without sensorineural hearing loss;broadmatch;distal renal tubular acidosis
myotonic dystrophy 2;broadmatch;myotonic dystrophy
hypomagnesemia 1, intestinal;broadmatch;hypomagnesemia
muscular dystrophy, limb-girdle, autosomal recessive 7;broadmatch;muscular dystrophy, limb-girdle, autosomal recessive
deafness, autosomal dominant 11;broadmatch;deafness, autosomal dominant
facial paresis, hereditary congenital, 1;broadmatch;facial paresis, hereditary congenital
myasthenic syndrome, congenital, 1a, slow-channel;broadmatch;myasthenic syndrome, congenital
inflammatory bowel disease 2;broadmatch;inflammatory bowel disease
charcot-marie-tooth disease,  iia 4d;broadmatch;charcot-marie-tooth disease
psoriasis 3, susceptibility to;broadmatch;psoriasis
myopathy, myofibrillar, 1;broadmatch;myopathy, myofibrillar
retinitis pigmentosa 18;broadmatch;retinitis pigmentosa
deafness, autosomal dominant 7;broadmatch;deafness, autosomal dominant
van maldergem syndrome 1;broadmatch;van maldergem syndrome
deafness, autosomal recessive 12;broadmatch;deafness, autosomal recessive
charcot-marie-tooth disease,  iia 4b1;broadmatch;charcot-marie-tooth disease
deafness, autosomal dominant 9;broadmatch;deafness, autosomal dominant
wilms tumor 4;broadmatch;wilms tumor
microphthalmia, syndromic 8;broadmatch;microphthalmia, syndromic
deafness, autosomal dominant 10;broadmatch;deafness, autosomal dominant
mucopolysaccharidosis,  iia 9;broadmatch;mucopolysaccharidoses
muscular dystrophy, limb-girdle, autosomal recessive 6;broadmatch;muscular dystrophy, limb-girdle, autosomal recessive
ichthyosis, congenital, autosomal recessive 4a;broadmatch;ichthyosis, congenital, autosomal recessive
polyposis syndrome, hereditary mixed, 1;broadmatch;polyposis syndrome, hereditary mixed
cataract 24;broadmatch;cataract
hypocalcemia, autosomal dominant 1;broadmatch;hypocalcemia
iron overload 1n africa;broadmatch;hemochromatosis
microphthalmia, syndromic 9;broadmatch;microphthalmia, syndromic
microphthalmia, syndromic 9;broadmatch;microphthalmia, isolated, with coloboma
spastic paraplegia 9a, autosomal dominant;broadmatch;spastic paraplegia
cardiomyopathy, dilated, 1e;broadmatch;dilated cardiomyopathy
neuropathy, hereditary motor and sensory,  iia via, with optic atrophy;broadmatch;charcot-marie-tooth disease
brugada syndrome 1;broadmatch;brugada syndrome
congenital disorder of glycosylation,  iia id;broadmatch;congenital disorders of glycosylation, type i
telangiectasia, hereditary hemorrhagic,  iia 3;broadmatch;telangiectasia, hereditary hemorrhagic
charcot-marie-tooth disease, axonal,  iia 2d;broadmatch;charcot-marie-tooth disease
cardiomyopathy, dilated, 1c, with or without left ventricular noncompaction;broadmatch;dilated cardiomyopathy
glomerulopathy with fibronectin deposits 2;broadmatch;glomerulopathy with fibronectin deposits
arthrogryposis, distal,  iia 2b1;broadmatch;arthrogryposis, distal
malignant hyperthermia, susceptibility to, 6;broadmatch;malignant hyperthermia
malignant hyperthermia, susceptibility to, 5;broadmatch;malignant hyperthermia
cataract 14, multiple types;broadmatch;cataract
deafness, autosomal recessive 15;broadmatch;deafness, autosomal recessive
deafness, autosomal dominant 13;broadmatch;deafness, autosomal dominant
cholestasis, progressive familial intrahepatic, 2;broadmatch;cholestasis, progressive familial intrahepatic
hyperinsulinemic hypoglycemia, familial, 2;broadmatch;hyperinsulinemia hypoglycemia
exudative vitreoretinopathy 4;broadmatch;exudative vitreoretinopathy
ceroid lipofuscinosis, neuronal, 6a;broadmatch;ceroid lipofuscinoses
cone-rod dystrophy 6;broadmatch;cone-rod dystrophy/cone dystrophy
ehlers-danlos syndrome, musculocontractural type, 1;broadmatch;ehlers-danlos syndrome
seizures, benign familial infantile, 1;broadmatch;seizures, benign familial infantile
retinitis pigmentosa 19;broadmatch;retinitis pigmentosa
quebec platelet disorder;broadmatch;bleeding disorder, platelet-type
bartter syndrome,  iia 1, antenatal;broadmatch;bartter syndrome
cardiomyopathy, dilated, 1c, with or without left ventricular noncompaction;broadmatch;cardiomyopathy, familial hypertrophic
trichothiodystrophy 1, photosensitive;broadmatch;trichothiodystrophy
paragangliomas 2;broadmatch;paragangliomas
anterior segment dysgenesis 3;broadmatch;anterior segment dysgenesis
charcot-marie-tooth disease,  iia 4c;broadmatch;charcot-marie-tooth disease
wilms tumor 5;broadmatch;wilms tumor
cataract 3, multiple types;broadmatch;cataract
deafness, autosomal dominant 3a;broadmatch;deafness, autosomal dominant
deafness, autosomal dominant 12;broadmatch;deafness, autosomal dominant
peroxisome biogenesis disorder 1b;broadmatch;peroxisome biogenesis disorder
axenfeld-rieger syndrome,  iia 2;broadmatch;axenfeld-rieger syndrome
agammaglobulinemia 1, autosomal recessive;broadmatch;agammaglobulinemia
cardiomyopathy, dilated, 1d;broadmatch;left ventricular noncompaction
cardiomyopathy, dilated, 1d;broadmatch;dilated cardiomyopathy
cardiomyopathy, dilated, 1c, with or without left ventricular noncompaction;broadmatch;left ventricular noncompaction
deafness, autosomal recessive 21;broadmatch;deafness, autosomal recessive
cone-rod dystrophy 7;broadmatch;cone-rod dystrophy/cone dystrophy
deafness, autosomal recessive 14;broadmatch;deafness, autosomal recessive
hypotrichosis 1;broadmatch;hypotrichosis
psoriasis 7, susceptibility to;broadmatch;psoriasis
charcot-marie-tooth disease, axonal,  iia 2b2;broadmatch;charcot-marie-tooth disease
charcot-marie-tooth disease, axonal,  iia 2b1;broadmatch;charcot-marie-tooth disease
deafness, autosomal dominant 25;broadmatch;deafness, autosomal dominant
cardiomyopathy, dilated, 1k;broadmatch;dilated cardiomyopathy
abdominal obesity-metabolic syndrome quantitative trait locus 2;broadmatch;abdominal obesity-metabolic syndrome
abdominal obesity-metabolic syndrome 1;broadmatch;abdominal obesity-metabolic syndrome
cone-rod dystrophy 8;broadmatch;cone-rod dystrophy/cone dystrophy
fibromatosis, gingival, 2;broadmatch;gingival fibromatosis
parkinson disease 4, autosomal dominant;broadmatch;parkinson disease
cholestasis, benign recurrent intrahepatic, 2;broadmatch;cholestasis, benign recurrent intrahepatic
usher syndrome,  iia 2c;broadmatch;usher syndrome
radioulnar synostosis with amegakaryocytic thrombocytopenia 1;broadmatch;radioulnar synostosis with amegakaryocytic thrombocytopenia
deafness, autosomal recessive 26;broadmatch;deafness, autosomal recessive
cataract 31, multiple types;broadmatch;cataract
multiple mitochondrial dysfunctions syndrome 1;broadmatch;multiple mitochondrial dysfunctions syndrome
heterotaxy, visceral, 2, autosomal;broadmatch;heterotaxy, visceral
epilepsy, nocturnal frontal lobe, 3;broadmatch;epilepsy, nocturnal frontal lobe
paragangliomas 3;broadmatch;paragangliomas
psoriasis 6, susceptibility to;broadmatch;psoriasis
cardiomyopathy, dilated, 1j;broadmatch;dilated cardiomyopathy
spinocerebellar ataxia 14;broadmatch;spinocerebellar ataxia
nemaline myopathy 5;broadmatch;nemaline myopathy
optic atrophy 4;broadmatch;optic atrophy
split-hand/foot malformation 4;broadmatch;split-hand/foot malformation
neuropathy, hereditary motor and sensory, russe  iia;broadmatch;charcot-marie-tooth disease
spastic paraplegia 13, autosomal dominant;broadmatch;spastic paraplegia
noonan syndrome 2;broadmatch;noonan syndrome
spinocerebellar ataxia 13;broadmatch;spinocerebellar ataxia
immunodeficiency with hyper-igm,  iia 2;broadmatch;immunodeficiency with hyper-igm
hyperaldosteronism, familial,  iia 2;broadmatch;hyperaldosteronism
fanconi anemia, complementation group d1;broadmatch;fanconi anemia
myopathy, myofibrillar, 9, with early respiratory failure;broadmatch;myopathy, myofibrillar
parkinson disease 6, autosomal recessive early-onset;broadmatch;parkinson disease
diabetes mellitus, permanent neonatal, 1;broadmatch;diabetes mellitus, permanent neonatal
diamond-blackfan anemia 15 with mandibulofacial dysostosis;broadmatch;diamond-blackfan anemia
neurodegeneration with brain iron accumulation 3;broadmatch;neurodegeneration with brain iron accumulation
diamond-blackfan anemia 2;broadmatch;diamond-blackfan anemia
goiter, multinodular 3;broadmatch;goiter, multinodular
hereditary motor and sensory neuropathy,  iia 2c;broadmatch;charcot-marie-tooth disease
amyotrophic lateral sclerosis 21;broadmatch;amyotrophic lateral sclerosis
hemochromatosis,  iia 4;broadmatch;hemochromatosis
retinitis pigmentosa 28;broadmatch;retinitis pigmentosa
congenital disorder of glycosylation,  iia iib;broadmatch;congenital disorders of glycosylation, type ii
intellectual developmental disorder with autism and speech delay;broadmatch;autism, susceptiblity to
deafness, autosomal dominant 18;broadmatch;deafness, autosomal dominant
spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2;broadmatch;spinocerebellar ataxia, autosomal recessive, with axonal neuropathy
holoprosencephaly 6;broadmatch;holoprosencephaly
dermatitis, atopic, 6;broadmatch;dermatitis, atopic
otosclerosis 2;broadmatch;otosclerosis
dermatitis, atopic, 5;broadmatch;dermatitis, atopic
narcolepsy 2, susceptibility to;broadmatch;narcolepsy
deafness, autosomal recessive 27;broadmatch;deafness, autosomal recessive
myasthenic syndrome, congenital, 4a, slow-channel;broadmatch;myasthenic syndrome, congenital
dermatitis, atopic, 4;broadmatch;dermatitis, atopic
dermatitis, atopic, 3;broadmatch;dermatitis, atopic
dermatitis, atopic, 2;broadmatch;dermatitis, atopic
nail disorder, nonsyndromic congenital, 7;broadmatch;nail disorder, nonsyndromic congenital
seizures, benign familial infantile, 2;broadmatch;seizures, benign familial infantile
exudative vitreoretinopathy 3;broadmatch;exudative vitreoretinopathy
cataract 26, multiple types;broadmatch;cataract
microphthalmia, isolated, with coloboma 2;broadmatch;microphthalmia, isolated, with coloboma
